YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1964,287,NO,STORE SUPPHELLEBREEN,,2200.0,-1500.0,700.0,
1965,287,NO,STORE SUPPHELLEBREEN,,2320.0,-1760.0,560.0,
1966,287,NO,STORE SUPPHELLEBREEN,12.0,1630.0,-2400.0,-770.0,
1967,287,NO,STORE SUPPHELLEBREEN,12.0,2720.0,-1500.0,1220.0,
1973,287,NO,STORE SUPPHELLEBREEN,12.0,,,1500.0,
1974,287,NO,STORE SUPPHELLEBREEN,12.0,,,800.0,
1975,287,NO,STORE SUPPHELLEBREEN,12.0,,,1000.0,
1979,287,NO,STORE SUPPHELLEBREEN,12.0,,,1100.0,
1980,287,NO,STORE SUPPHELLEBREEN,12.0,,,-1400.0,
1981,287,NO,STORE SUPPHELLEBREEN,12.0,,,200.0,
1982,287,NO,STORE SUPPHELLEBREEN,12.0,,,-1700.0,
