YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1978,30,CA,YURI,3.578,1290.0,-1340.0,-50.0,
1979,30,CA,YURI,3.578,1560.0,-2130.0,-570.0,
1980,30,CA,YURI,3.578,1520.0,-2250.0,-730.0,
1981,30,CA,YURI,3.58,1480.0,-1620.0,-140.0,
1982,30,CA,YURI,3.58,1330.0,-2290.0,-960.0,
1983,30,CA,YURI,3.58,1130.0,-2240.0,-1110.0,
1984,30,CA,YURI,3.58,1210.0,-1070.0,140.0,
1985,30,CA,YURI,,1580.0,,,
1989,30,CA,YURI,3.58,1270.0,-3090.0,-1820.0,
1990,30,CA,YURI,3.58,1980.0,-2400.0,-420.0,
