YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
2003,203,US,EMMONS,11.6,,,-2822.0,Data reported for MBB No. 8. Data PROVISIONAL AT THE TIME OF SUBMISSION.,RGI60-02.14297
2006,203,US,EMMONS,11.59,2440.0,-3380.0,-940.0,,RGI60-02.14297
2007,203,US,EMMONS,,2850.0,-3280.0,-430.0,,RGI60-02.14297
2008,203,US,EMMONS,,2580.0,-3210.0,-630.0,,RGI60-02.14297
2009,203,US,EMMONS,,1460.0,-3260.0,-1800.0,,RGI60-02.14297
2010,203,US,EMMONS,,2550.0,-1530.0,1020.0,,RGI60-02.14297
2011,203,US,EMMONS,,2350.0,-2370.0,-20.0,Lower and upper boundary of altitude interval was given as 1480 and 4320,RGI60-02.14297
2012,203,US,EMMONS,,2360.0,-2860.0,-500.0,,RGI60-02.14297
2013,203,US,EMMONS,,2080.0,-3470.0,-1390.0,,RGI60-02.14297
2014,203,US,EMMONS,,2330.0,-3660.0,-1330.0,,RGI60-02.14297
2015,203,US,EMMONS,11.2700004,2410.0,-3670.0,-1260.0,Preliminary. Glacier wide balances calculated with 2008 basemap,RGI60-02.14297
2016,203,US,EMMONS,11.27,2620.0,-2630.0,-10.0,Preliminary. Glacier wide balances calculated with 2007/2008 elevations & 2009 glacier extents,RGI60-02.14297
