YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
1976,809,ORDZHONIKIDZE,90.0,RGI50-13.08531
1977,809,ORDZHONIKIDZE,-290.0,RGI50-13.08531
1978,809,ORDZHONIKIDZE,-1050.0,RGI50-13.08531
1979,809,ORDZHONIKIDZE,-252.0,RGI50-13.08531
1980,809,ORDZHONIKIDZE,-280.0,RGI50-13.08531
1981,809,ORDZHONIKIDZE,220.0,RGI50-13.08531
1982,809,ORDZHONIKIDZE,-320.0,RGI50-13.08531
1983,809,ORDZHONIKIDZE,-240.0,RGI50-13.08531
1984,809,ORDZHONIKIDZE,-820.0,RGI50-13.08531
1985,809,ORDZHONIKIDZE,-260.0,RGI50-13.08531
1986,809,ORDZHONIKIDZE,-220.0,RGI50-13.08531
1987,809,ORDZHONIKIDZE,-80.0,RGI50-13.08531
1988,809,ORDZHONIKIDZE,-300.0,RGI50-13.08531
1989,809,ORDZHONIKIDZE,-180.0,RGI50-13.08531
1990,809,ORDZHONIKIDZE,-530.0,RGI50-13.08531
