YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
1946,332,STORGLACIAEREN,-540.0,RGI50-08.02637
1947,332,STORGLACIAEREN,-1880.0,RGI50-08.02637
1948,332,STORGLACIAEREN,-290.0,RGI50-08.02637
1949,332,STORGLACIAEREN,590.0,RGI50-08.02637
1950,332,STORGLACIAEREN,-750.0,RGI50-08.02637
1951,332,STORGLACIAEREN,-770.0,RGI50-08.02637
1952,332,STORGLACIAEREN,40.0,RGI50-08.02637
1953,332,STORGLACIAEREN,-520.0,RGI50-08.02637
1954,332,STORGLACIAEREN,-930.0,RGI50-08.02637
1955,332,STORGLACIAEREN,-360.0,RGI50-08.02637
1956,332,STORGLACIAEREN,-300.0,RGI50-08.02637
1957,332,STORGLACIAEREN,-340.0,RGI50-08.02637
1958,332,STORGLACIAEREN,-380.0,RGI50-08.02637
1959,332,STORGLACIAEREN,-770.0,RGI50-08.02637
1960,332,STORGLACIAEREN,-1610.0,RGI50-08.02637
1961,332,STORGLACIAEREN,-790.0,RGI50-08.02637
1962,332,STORGLACIAEREN,430.0,RGI50-08.02637
1963,332,STORGLACIAEREN,-200.0,RGI50-08.02637
1964,332,STORGLACIAEREN,430.0,RGI50-08.02637
1965,332,STORGLACIAEREN,500.0,RGI50-08.02637
1966,332,STORGLACIAEREN,-550.0,RGI50-08.02637
1967,332,STORGLACIAEREN,-180.0,RGI50-08.02637
1968,332,STORGLACIAEREN,-240.0,RGI50-08.02637
1969,332,STORGLACIAEREN,-900.0,RGI50-08.02637
1970,332,STORGLACIAEREN,-1370.0,RGI50-08.02637
1971,332,STORGLACIAEREN,-190.0,RGI50-08.02637
1972,332,STORGLACIAEREN,-1050.0,RGI50-08.02637
1973,332,STORGLACIAEREN,50.0,RGI50-08.02637
1974,332,STORGLACIAEREN,-340.0,RGI50-08.02637
1975,332,STORGLACIAEREN,1170.0,RGI50-08.02637
1976,332,STORGLACIAEREN,270.0,RGI50-08.02637
1977,332,STORGLACIAEREN,200.0,RGI50-08.02637
1978,332,STORGLACIAEREN,-80.0,RGI50-08.02637
1979,332,STORGLACIAEREN,-210.0,RGI50-08.02637
1980,332,STORGLACIAEREN,-1270.0,RGI50-08.02637
1981,332,STORGLACIAEREN,-190.0,RGI50-08.02637
1982,332,STORGLACIAEREN,260.0,RGI50-08.02637
1983,332,STORGLACIAEREN,280.0,RGI50-08.02637
1984,332,STORGLACIAEREN,120.0,RGI50-08.02637
1985,332,STORGLACIAEREN,-720.0,RGI50-08.02637
1986,332,STORGLACIAEREN,-60.0,RGI50-08.02637
1987,332,STORGLACIAEREN,480.0,RGI50-08.02637
1988,332,STORGLACIAEREN,-840.0,RGI50-08.02637
1989,332,STORGLACIAEREN,1240.0,RGI50-08.02637
1990,332,STORGLACIAEREN,590.0,RGI50-08.02637
1991,332,STORGLACIAEREN,170.0,RGI50-08.02637
1992,332,STORGLACIAEREN,880.0,RGI50-08.02637
1993,332,STORGLACIAEREN,1000.0,RGI50-08.02637
1994,332,STORGLACIAEREN,-370.0,RGI50-08.02637
1995,332,STORGLACIAEREN,700.0,RGI50-08.02637
1996,332,STORGLACIAEREN,-390.0,RGI50-08.02637
1997,332,STORGLACIAEREN,-630.0,RGI50-08.02637
1998,332,STORGLACIAEREN,-520.0,RGI50-08.02637
1999,332,STORGLACIAEREN,-180.0,RGI50-08.02637
2000,332,STORGLACIAEREN,580.0,RGI50-08.02637
2001,332,STORGLACIAEREN,-700.0,RGI50-08.02637
2002,332,STORGLACIAEREN,-830.0,RGI50-08.02637
2003,332,STORGLACIAEREN,-1040.0,RGI50-08.02637
2004,332,STORGLACIAEREN,-120.0,RGI50-08.02637
2005,332,STORGLACIAEREN,-70.0,RGI50-08.02637
2006,332,STORGLACIAEREN,-1720.0,RGI50-08.02637
2007,332,STORGLACIAEREN,410.0,RGI50-08.02637
2008,332,STORGLACIAEREN,580.0,RGI50-08.02637
2009,332,STORGLACIAEREN,-530.0,RGI50-08.02637
2010,332,STORGLACIAEREN,-690.0,RGI50-08.02637
2011,332,STORGLACIAEREN,-1060.0,RGI50-08.02637
2012,332,STORGLACIAEREN,680.0,RGI50-08.02637
2013,332,STORGLACIAEREN,-1410.0,RGI50-08.02637
2014,332,STORGLACIAEREN,-890.0,RGI50-08.02637
