YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1968,724,GE,TBILISA,,1836.0,-1526.0,310.0,
1969,724,GE,TBILISA,,2085.0,-2438.0,-353.0,
1970,724,GE,TBILISA,,2225.0,-2639.0,-464.0,
1971,724,GE,TBILISA,3.75,2213.0,-2215.0,-2.0,Area from table SECTION.
1972,724,GE,TBILISA,,2152.0,-2640.0,-488.0,
1973,724,GE,TBILISA,,2276.0,-2161.0,115.0,
1974,724,GE,TBILISA,,2210.0,-2337.0,-127.0,
1975,724,GE,TBILISA,,1929.0,-2861.0,-932.0,
1976,724,GE,TBILISA,,2357.0,-2543.0,-186.0,
1977,724,GE,TBILISA,,2210.0,-2494.0,-284.0,
1978,724,GE,TBILISA,,2081.0,-2218.0,-137.0,
1979,724,GE,TBILISA,,2081.0,-2218.0,-137.0,
1980,724,GE,TBILISA,,2359.0,-2640.0,-281.0,
