YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
2011,3889,KG,GLACIER NO. 354 (AKSHIYRAK),6.4732,,,-127.0,Balance is expected to be more negativ at the end of the balance year. 
2012,3889,KG,GLACIER NO. 354 (AKSHIYRAK),6.4376,,,-518.0,Balance measured at Mid-August to End-August.
2013,3889,KG,GLACIER NO. 354 (AKSHIYRAK),6.4236,,,-538.0,Balance measured August-August
2014,3889,KG,GLACIER NO. 354 (AKSHIYRAK),6.4112,158.0,,-675.0,Annual balance measured August-August
2015,3889,KG,GLACIER NO. 354 (AKSHIYRAK),6.789999900000001,167.0,-803.0,-635.0,
