YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1960,16,CA,MEIGHEN ICE CAP,85.0,130.0,-880.0,-750.0,,RGI50-03.00691
1961,16,CA,MEIGHEN ICE CAP,85.0,180.0,-290.0,-110.0,,RGI50-03.00691
1962,16,CA,MEIGHEN ICE CAP,85.0,160.0,-1130.0,-970.0,,RGI50-03.00691
1963,16,CA,MEIGHEN ICE CAP,85.0,200.0,-400.0,-200.0,,RGI50-03.00691
1964,16,CA,MEIGHEN ICE CAP,85.0,330.0,30.0,360.0,,RGI50-03.00691
1965,16,CA,MEIGHEN ICE CAP,85.0,180.0,-120.0,60.0,,RGI50-03.00691
1966,16,CA,MEIGHEN ICE CAP,85.0,160.0,-230.0,-70.0,,RGI50-03.00691
1967,16,CA,MEIGHEN ICE CAP,85.0,110.0,-160.0,-50.0,,RGI50-03.00691
1968,16,CA,MEIGHEN ICE CAP,85.0,190.0,-140.0,50.0,,RGI50-03.00691
1969,16,CA,MEIGHEN ICE CAP,85.0,180.0,-70.0,110.0,,RGI50-03.00691
1970,16,CA,MEIGHEN ICE CAP,85.0,120.0,-130.0,-10.0,,RGI50-03.00691
1971,16,CA,MEIGHEN ICE CAP,85.0,190.0,-610.0,-420.0,,RGI50-03.00691
1972,16,CA,MEIGHEN ICE CAP,85.0,,,30.0,D.O. Burgess: average value inferred from measurements over two years,RGI50-03.00691
1973,16,CA,MEIGHEN ICE CAP,85.0,,,30.0,D.O. Burgess: average value inferred from measurements over two years,RGI50-03.00691
1974,16,CA,MEIGHEN ICE CAP,85.0,170.0,-200.0,-30.0,,RGI50-03.00691
1975,16,CA,MEIGHEN ICE CAP,85.0,120.0,-40.0,80.0,D.O. Burgess: average value inferred from measurements over two years,RGI50-03.00691
1976,16,CA,MEIGHEN ICE CAP,85.0,160.0,-80.0,80.0,D.O. Burgess: average value inferred from measurements over two years,RGI50-03.00691
1977,16,CA,MEIGHEN ICE CAP,85.0,120.0,-360.0,-240.0,,RGI50-03.00691
1978,16,CA,MEIGHEN ICE CAP,85.0,140.0,-230.0,-90.0,,RGI50-03.00691
1979,16,CA,MEIGHEN ICE CAP,85.0,100.0,-105.0,-5.0,D.O. Burgess: average value inferred from measurements over two years,RGI50-03.00691
1980,16,CA,MEIGHEN ICE CAP,85.0,164.0,-169.0,-5.0,D.O. Burgess: average value inferred from measurements over two years,RGI50-03.00691
1981,16,CA,MEIGHEN ICE CAP,85.0,180.0,-350.0,-170.0,,RGI50-03.00691
1982,16,CA,MEIGHEN ICE CAP,85.0,164.0,-4.0,160.0,,RGI50-03.00691
1983,16,CA,MEIGHEN ICE CAP,85.0,100.0,-350.0,-250.0,,RGI50-03.00691
1984,16,CA,MEIGHEN ICE CAP,85.0,200.0,30.0,230.0,,RGI50-03.00691
1985,16,CA,MEIGHEN ICE CAP,85.0,170.0,-200.0,-30.0,,RGI50-03.00691
1986,16,CA,MEIGHEN ICE CAP,85.0,200.0,50.0,250.0,,RGI50-03.00691
1987,16,CA,MEIGHEN ICE CAP,85.0,180.0,-360.0,-180.0,,RGI50-03.00691
1988,16,CA,MEIGHEN ICE CAP,85.0,170.0,-460.0,-290.0,,RGI50-03.00691
1989,16,CA,MEIGHEN ICE CAP,85.0,250.0,40.0,290.0,,RGI50-03.00691
1990,16,CA,MEIGHEN ICE CAP,85.0,150.0,-360.0,-210.0,,RGI50-03.00691
1991,16,CA,MEIGHEN ICE CAP,85.0,130.0,-220.0,-220.0,,RGI50-03.00691
1992,16,CA,MEIGHEN ICE CAP,85.0,150.0,-140.0,10.0,,RGI50-03.00691
1993,16,CA,MEIGHEN ICE CAP,85.0,100.0,-690.0,-590.0,,RGI50-03.00691
