YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1968,291,SJ,MIDTRE LOVENBREEN,,,,-30.0,,RGI60-07.00493
1969,291,SJ,MIDTRE LOVENBREEN,,,,-840.0,,RGI60-07.00493
1970,291,SJ,MIDTRE LOVENBREEN,,,,-530.0,,RGI60-07.00493
1971,291,SJ,MIDTRE LOVENBREEN,,,,-460.0,,RGI60-07.00493
1972,291,SJ,MIDTRE LOVENBREEN,,,,-220.0,,RGI60-07.00493
1973,291,SJ,MIDTRE LOVENBREEN,,,,-20.0,,RGI60-07.00493
1974,291,SJ,MIDTRE LOVENBREEN,,,,-890.0,,RGI60-07.00493
1975,291,SJ,MIDTRE LOVENBREEN,,,,-210.0,,RGI60-07.00493
1976,291,SJ,MIDTRE LOVENBREEN,5.8,750.0,-1100.0,-350.0,,RGI60-07.00493
1977,291,SJ,MIDTRE LOVENBREEN,5.8,800.0,-840.0,-40.0,,RGI60-07.00493
1978,291,SJ,MIDTRE LOVENBREEN,5.8,810.0,-1290.0,-480.0,,RGI60-07.00493
1979,291,SJ,MIDTRE LOVENBREEN,5.8,800.0,-1460.0,-660.0,,RGI60-07.00493
1980,291,SJ,MIDTRE LOVENBREEN,5.8,830.0,-1260.0,-430.0,,RGI60-07.00493
1981,291,SJ,MIDTRE LOVENBREEN,,510.0,-970.0,-460.0,,RGI60-07.00493
1982,291,SJ,MIDTRE LOVENBREEN,,660.0,-640.0,20.0,,RGI60-07.00493
1983,291,SJ,MIDTRE LOVENBREEN,,750.0,-920.0,-170.0,,RGI60-07.00493
1984,291,SJ,MIDTRE LOVENBREEN,,640.0,-1420.0,-680.0,,RGI60-07.00493
1985,291,SJ,MIDTRE LOVENBREEN,,980.0,-1460.0,-480.0,,RGI60-07.00493
1986,291,SJ,MIDTRE LOVENBREEN,,1060.0,-1270.0,-210.0,,RGI60-07.00493
1987,291,SJ,MIDTRE LOVENBREEN,,820.0,-580.0,240.0,,RGI60-07.00493
1988,291,SJ,MIDTRE LOVENBREEN,,560.0,-1050.0,-490.0,,RGI60-07.00493
1989,291,SJ,MIDTRE LOVENBREEN,,630.0,-870.0,-240.0,,RGI60-07.00493
1990,291,SJ,MIDTRE LOVENBREEN,,870.0,-1380.0,-510.0,,RGI60-07.00493
1991,291,SJ,MIDTRE LOVENBREEN,5.45,980.0,-880.0,100.0,,RGI60-07.00493
1992,291,SJ,MIDTRE LOVENBREEN,5.45,840.0,-980.0,-140.0,,RGI60-07.00493
1993,291,SJ,MIDTRE LOVENBREEN,5.45,680.0,-1560.0,-880.0,,RGI60-07.00493
1994,291,SJ,MIDTRE LOVENBREEN,5.45,860.0,-1000.0,-120.0,,RGI60-07.00493
1995,291,SJ,MIDTRE LOVENBREEN,5.45,520.0,-1310.0,-790.0,,RGI60-07.00493
1996,291,SJ,MIDTRE LOVENBREEN,,800.0,-780.0,20.0,,RGI60-07.00493
1997,291,SJ,MIDTRE LOVENBREEN,,560.0,-980.0,-430.0,,RGI60-07.00493
1998,291,SJ,MIDTRE LOVENBREEN,5.45,520.0,-1110.0,-590.0,,RGI60-07.00493
1999,291,SJ,MIDTRE LOVENBREEN,5.45,560.0,-830.0,-270.0,,RGI60-07.00493
2000,291,SJ,MIDTRE LOVENBREEN,5.45,508.0,-536.0,-28.0,,RGI60-07.00493
2001,291,SJ,MIDTRE LOVENBREEN,5.45,623.0,-954.0,-331.0,,RGI60-07.00493
2002,291,SJ,MIDTRE LOVENBREEN,5.45,788.0,-1318.0,-529.0,,RGI60-07.00493
2003,291,SJ,MIDTRE LOVENBREEN,5.45,475.0,-1258.0,-783.0,,RGI60-07.00493
2004,291,SJ,MIDTRE LOVENBREEN,5.45,593.0,-1568.0,-975.0,,RGI60-07.00493
2005,291,SJ,MIDTRE LOVENBREEN,5.45,565.0,-1304.0,-739.0,,RGI60-07.00493
2006,291,SJ,MIDTRE LOVENBREEN,5.45,747.0,-1233.0,-486.0,,RGI60-07.00493
2007,291,SJ,MIDTRE LOVENBREEN,5.45,728.0,-978.0,-251.0,,RGI60-07.00493
2008,291,SJ,MIDTRE LOVENBREEN,5.45,748.0,-757.0,-9.0,,RGI60-07.00493
2009,291,SJ,MIDTRE LOVENBREEN,,750.0,-890.0,-140.0,,RGI60-07.00493
2010,291,SJ,MIDTRE LOVENBREEN,,,,-200.0,,RGI60-07.00493
2011,291,SJ,MIDTRE LOVENBREEN,5.45,600.0,-1520.0,-920.0,,RGI60-07.00493
2012,291,SJ,MIDTRE LOVENBREEN,,,,-260.0,,RGI60-07.00493
2013,291,SJ,MIDTRE LOVENBREEN,,390.0,-1320.0,-940.0,,RGI60-07.00493
2014,291,SJ,MIDTRE LOVENBREEN,,770.0,-750.0,30.0,,RGI60-07.00493
2015,291,SJ,MIDTRE LOVENBREEN,,730.0,-1180.0,-450.0,,RGI60-07.00493
2016,291,SJ,MIDTRE LOVENBREEN,,520.0,-1730.0,-1200.0,,RGI60-07.00493
2017,291,SJ,MIDTRE LOVENBREEN,,580.0,-1000.0,-640.0,,RGI60-07.00493
2018,291,SJ,MIDTRE LOVENBREEN,,,,-760.0,,RGI60-07.00493
