YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1993,1664,US,NORTH KLAWATTI,1.46,1760.0,-2829.0,-1069.0,,RGI60-02.18077
1994,1664,US,NORTH KLAWATTI,1.46,2104.0,-4031.0,-1926.0,,RGI60-02.18077
1995,1664,US,NORTH KLAWATTI,1.46,3071.0,-3542.0,-470.0,,RGI60-02.18077
1996,1664,US,NORTH KLAWATTI,1.46,3208.0,-2865.0,343.0,,RGI60-02.18077
1997,1664,US,NORTH KLAWATTI,,,,880.0,,RGI60-02.18077
1998,1664,US,NORTH KLAWATTI,,,,-1490.0,,RGI60-02.18077
1999,1664,US,NORTH KLAWATTI,,,,1570.0,,RGI60-02.18077
2000,1664,US,NORTH KLAWATTI,,,,800.0,,RGI60-02.18077
2001,1664,US,NORTH KLAWATTI,,,,-1720.0,,RGI60-02.18077
2002,1664,US,NORTH KLAWATTI,1.46,,,224.0,Data reported for MBB No. 8. Data PROVISIONAL AT THE TIME OF SUBMISSION.,RGI60-02.18077
2003,1664,US,NORTH KLAWATTI,1.46,,,-1367.0,Data reported for MBB No. 8. Data PROVISIONAL AT THE TIME OF SUBMISSION.,RGI60-02.18077
2004,1664,US,NORTH KLAWATTI,,,,-1272.0,,RGI60-02.18077
2005,1664,US,NORTH KLAWATTI,,,,-2060.0,,RGI60-02.18077
2006,1664,US,NORTH KLAWATTI,1.46,2240.0,-3380.0,-1140.0,,RGI60-02.18077
2007,1664,US,NORTH KLAWATTI,,2950.0,-3690.0,-740.0,,RGI60-02.18077
2008,1664,US,NORTH KLAWATTI,,2930.0,-3160.0,-220.0,,RGI60-02.18077
2009,1664,US,NORTH KLAWATTI,,2460.0,-4290.0,-1830.0,,RGI60-02.18077
2010,1664,US,NORTH KLAWATTI,,2620.0,-2370.0,250.0,,RGI60-02.18077
2011,1664,US,NORTH KLAWATTI,,3580.0,-2820.0,750.0,Lower and upper boundary of altitude interval was given as 1730 and 2400,RGI60-02.18077
2012,1664,US,NORTH KLAWATTI,,3980.0,-3340.0,640.0,,RGI60-02.18077
2013,1664,US,NORTH KLAWATTI,,2910.0,-3820.0,-910.0,,RGI60-02.18077
2014,1664,US,NORTH KLAWATTI,,3870.0,-4080.0,-210.0,,RGI60-02.18077
2015,1664,US,NORTH KLAWATTI,1.48,3020.0,-5330.0,-2300.0,Preliminary. Glacier wide balances calculated with 2006 basemap,RGI60-02.18077
2016,1664,US,NORTH KLAWATTI,1.48,2870.0,-4010.0,-1150.0,Preliminary. Glacier wide balances calculated with 2006 basemap,RGI60-02.18077
