YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1999,547,AT,KLEINFLEISS K.,,,,-306.0,,RGI50-11.00251
2000,547,AT,KLEINFLEISS K.,,,,-315.0,,RGI50-11.00251
2001,547,AT,KLEINFLEISS K.,0.945,1691.0,-1887.0,-195.0,,RGI50-11.00251
2002,547,AT,KLEINFLEISS K.,0.945,1332.0,-2140.0,-808.0,,RGI50-11.00251
2003,547,AT,KLEINFLEISS K.,0.898,1614.0,-3056.0,-1604.0,MB for entire glacier corrected.,RGI50-11.00251
2004,547,AT,KLEINFLEISS K.,0.872,1417.0,-1291.0,82.0,MB for entire glacier corrected.,RGI50-11.00251
2005,547,AT,KLEINFLEISS K.,0.872,1143.0,-1254.0,-111.0,,RGI50-11.00251
2006,547,AT,KLEINFLEISS K.,0.849,1234.0,-1889.0,-655.0,,RGI50-11.00251
2007,547,AT,KLEINFLEISS K.,0.832,989.0,-1935.0,-946.0,,RGI50-11.00251
2008,547,AT,KLEINFLEISS K.,0.831,1534.0,-2157.0,-623.0,,RGI50-11.00251
2009,547,AT,KLEINFLEISS K.,0.821,1887.0,-2290.0,-403.0,,RGI50-11.00251
2010,547,AT,KLEINFLEISS K.,0.8308,1371.0,-1587.0,-216.0,,RGI50-11.00251
2011,547,AT,KLEINFLEISS K.,0.8211,1170.0,-2706.0,-1536.0,,RGI50-11.00251
2012,547,AT,KLEINFLEISS K.,0.7809,,,-1220.0,,RGI50-11.00251
2013,547,AT,KLEINFLEISS K.,0.7809,1416.0,-1611.0,-195.0,"Glacier Area 2012, DEM 2012 (extrapolated) Bs calculated from reported Bw and Ba.",RGI50-11.00251
2014,547,AT,KLEINFLEISS K.,0.7856,1717.0,-1218.0,499.0,Bs calculated from reported Ba and Bw.,RGI50-11.00251
2015,547,AT,KLEINFLEISS K.,0.7856,1478.0,-2854.0,-1376.0,Bs calculated from reported Ba and Bw.,RGI50-11.00251
2016,547,AT,KLEINFLEISS K.,0.7856,1513.0,-1945.0,-432.0,Bs calculated from reported Ba and Bw.,RGI50-11.00251
2017,547,AT,KLEINFLEISS K.,0.7856,1215.0,-3006.0,-1791.0,Bs calculated from reported Ba and Bw.,RGI50-11.00251
2018,547,AT,KLEINFLEISS K.,,,,-1377.0,,RGI50-11.00251
