YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1992,3096,IS,KOLDUKVISLARJ.,309.0,1830.0,-850.0,980.0,
1995,3096,IS,KOLDUKVISLARJ.,309.0,1300.0,-1890.0,-590.0,
1996,3096,IS,KOLDUKVISLARJ.,309.0,1370.0,-1760.0,-630.0,
1997,3096,IS,KOLDUKVISLARJ.,,,,-117.0,
1998,3096,IS,KOLDUKVISLARJ.,309.0,,,-980.0,
1999,3096,IS,KOLDUKVISLARJ.,309.0,,,-540.0,
2000,3096,IS,KOLDUKVISLARJ.,,,,-730.0,
2001,3096,IS,KOLDUKVISLARJ.,313.0,898.0,-1716.0,-818.0,
2002,3096,IS,KOLDUKVISLARJ.,313.0,1364.0,-1591.0,-227.0,
2003,3096,IS,KOLDUKVISLARJ.,313.0,1644.0,-2719.0,-1075.0,
2004,3096,IS,KOLDUKVISLARJ.,313.0,1401.0,-2177.0,-776.0,
2005,3096,IS,KOLDUKVISLARJ.,313.0,1225.0,-1852.0,-627.0,
2006,3096,IS,KOLDUKVISLARJ.,310.0,,,-402.0,Preliminary values.
2007,3096,IS,KOLDUKVISLARJ.,310.0,,,-342.0,Preliminary values.
2008,3096,IS,KOLDUKVISLARJ.,,,,-587.0,
2009,3096,IS,KOLDUKVISLARJ.,310.0,1715.0,-1849.0,-134.0,
2010,3096,IS,KOLDUKVISLARJ.,,1360.0,-4230.0,-2870.0,
2011,3096,IS,KOLDUKVISLARJ.,303.0,1865.0,-2619.0,-754.0,
2012,3096,IS,KOLDUKVISLARJ.,301.0,1638.0,-1927.0,-289.0,
2013,3096,IS,KOLDUKVISLARJ.,300.0,1190.0,-1750.0,-560.0,
2014,3096,IS,KOLDUKVISLARJ.,300.0,1224.0,-2101.0,-877.0,
2015,3096,IS,KOLDUKVISLARJ.,,2061.0,-987.0,1074.0,
