YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1984,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.686,1375.0,-980.0,395.0,,RGI50-11.01704
1985,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.686,1640.0,-2282.0,-600.0,,RGI50-11.01704
1986,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.686,1475.0,-1582.0,-107.0,,RGI50-11.01704
1987,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.686,924.0,-1390.0,-466.0,,RGI50-11.01704
1988,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.686,1064.0,-2160.0,-1096.0,,RGI50-11.01704
1990,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,,,,,,RGI50-11.01704
1991,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,,,,,,RGI50-11.01704
1992,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.663,844.0,-1935.0,-1091.0,,RGI50-11.01704
1993,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.662,968.0,-1524.0,-556.0,,RGI50-11.01704
1994,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.656,1375.0,-2330.0,-955.0,,RGI50-11.01704
1995,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.656,503.0,-1185.0,-682.0,,RGI50-11.01704
1996,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.659,540.0,-980.0,-440.0,For all years the mass balances are also analysed in the stratigrafic time system. Net balance also reported as -450.,RGI50-11.01704
1997,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.659,830.0,-1450.0,-620.0,For all years the mass balances are also analysed in the stratigrafic time system.,RGI50-11.01704
1998,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.659,860.0,-2470.0,-1620.0,For all years the mass balances are also analysed in the stratigrafic time system. Net balance also reported as -1610.,RGI50-11.01704
1999,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.636,990.0,-1960.0,-970.0,For all years the mass balances are also analysed in the stratigrafic time system.,RGI50-11.01704
2000,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.626,1130.0,-1870.0,-740.0,For all years the mass balances are also analysed in the stratigrafic time system.,RGI50-11.01704
2001,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.613,2206.0,-1811.0,395.0,,RGI50-11.01704
2002,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.612,784.0,-1219.0,-435.0,Data reported for MBB No. 8. Area measured in 2000.,RGI50-11.01704
2003,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.612,1115.0,-4065.0,-2950.0,Data reported for MBB No. 8. Area measured in 2000.,RGI50-11.01704
2004,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.55,983.0,-1977.0,-994.0,,RGI50-11.01704
2005,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.538,744.0,-2215.0,-1471.0,,RGI50-11.01704
2006,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.538,929.0,-2682.0,-1753.0,for more informations http://www.provincia.bz.it/hydro/glacierreport/downloads/fontana_01_2007.pdf,RGI50-11.01704
2007,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.49,616.0,-2223.0,-1607.0,for more informations http://www.provincia.bz.it/hydro/glacierreport/downloads/glacierreport_012008.pdf,RGI50-11.01704
2008,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.437,862.0,-2108.0,-1246.0,,RGI50-11.01704
2009,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.437,1587.0,-2209.0,-622.0,,RGI50-11.01704
2010,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.437,1316.0,-1511.0,-195.0,,RGI50-11.01704
2011,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.03125,1294.0,-2436.0,-1142.0,calculated from submitted values,RGI50-11.01704
2012,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.3971008,1011.0,-2942.0,-1931.0,Calculated from submitted values.,RGI50-11.01704
2013,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.3971,1515.0,-1562.0,-47.0,calculated from submitted values,RGI50-11.01704
2014,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.3971008,1842.0,-1375.0,467.0,Calculated from submitted values.,RGI50-11.01704
2015,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.3971008,1196.0,-2487.0,-1291.0,Calculated from submitted values.,RGI50-11.01704
2016,1507,IT,FONTANA BIANCA / WEISSBRUNNF.,0.39710100000000004,1083.0,-2394.0,-1312.0,Calculated from submitted values.,RGI50-11.01704
