YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
1965,41,PLACE,-680.0,RGI50-02.02587
1966,41,PLACE,114.0,RGI50-02.02587
1967,41,PLACE,-1213.0,RGI50-02.02587
1968,41,PLACE,-131.0,RGI50-02.02587
1969,41,PLACE,-210.0,RGI50-02.02587
1970,41,PLACE,-1510.0,RGI50-02.02587
1971,41,PLACE,-343.0,RGI50-02.02587
1972,41,PLACE,-344.0,RGI50-02.02587
1973,41,PLACE,-299.0,RGI50-02.02587
1974,41,PLACE,562.0,RGI50-02.02587
1975,41,PLACE,-238.0,RGI50-02.02587
1976,41,PLACE,877.0,RGI50-02.02587
1977,41,PLACE,-1227.0,RGI50-02.02587
1978,41,PLACE,-433.0,RGI50-02.02587
1979,41,PLACE,-2212.0,RGI50-02.02587
1980,41,PLACE,-923.0,RGI50-02.02587
1981,41,PLACE,-1093.0,RGI50-02.02587
1982,41,PLACE,-754.0,RGI50-02.02587
1983,41,PLACE,-441.0,RGI50-02.02587
1984,41,PLACE,-337.0,RGI50-02.02587
1985,41,PLACE,-1882.0,RGI50-02.02587
1986,41,PLACE,-1312.0,RGI50-02.02587
1987,41,PLACE,-845.0,RGI50-02.02587
1988,41,PLACE,-969.0,RGI50-02.02587
1989,41,PLACE,-1040.0,RGI50-02.02587
1990,41,PLACE,-938.0,RGI50-02.02587
1991,41,PLACE,-990.0,RGI50-02.02587
1992,41,PLACE,-790.0,RGI50-02.02587
1993,41,PLACE,-2280.0,RGI50-02.02587
1994,41,PLACE,-2010.0,RGI50-02.02587
1995,41,PLACE,-2486.0,RGI50-02.02587
1996,41,PLACE,-221.0,RGI50-02.02587
1997,41,PLACE,-888.0,RGI50-02.02587
1998,41,PLACE,-2450.0,RGI50-02.02587
1999,41,PLACE,620.0,RGI50-02.02587
2000,41,PLACE,130.0,RGI50-02.02587
2001,41,PLACE,-760.0,RGI50-02.02587
2002,41,PLACE,-123.0,RGI50-02.02587
2003,41,PLACE,-995.0,RGI50-02.02587
2004,41,PLACE,-2210.0,RGI50-02.02587
2005,41,PLACE,-1295.0,RGI50-02.02587
2006,41,PLACE,-1900.0,RGI50-02.02587
2007,41,PLACE,-150.0,RGI50-02.02587
2008,41,PLACE,-490.0,RGI50-02.02587
2009,41,PLACE,-1500.0,RGI50-02.02587
2010,41,PLACE,80.0,RGI50-02.02587
2011,41,PLACE,355.0,RGI50-02.02587
2012,41,PLACE,120.0,RGI50-02.02587
2013,41,PLACE,-2300.0,RGI50-02.02587
