YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1985,297,NO,STORGLOMBREEN,59.1599998,1404.0,-2588.0,-1184.0,
1986,297,NO,STORGLOMBREEN,59.1599998,2454.0,-2868.0,-415.0,
1987,297,NO,STORGLOMBREEN,59.1599998,2320.0,-1869.0,451.0,
1988,297,NO,STORGLOMBREEN,59.1599998,2065.0,-3876.0,-1820.0,
2000,297,NO,STORGLOMBREEN,62.42599860000001,2644.0,-1558.0,1086.0,calving
2001,297,NO,STORGLOMBREEN,62.42599860000001,1151.0,-2913.0,-1762.0,calving
2002,297,NO,STORGLOMBREEN,62.42599860000001,2327.0,-3576.0,-1249.0,calving
2003,297,NO,STORGLOMBREEN,62.42599860000001,2181.0,-3283.0,-1103.0,calving
2004,297,NO,STORGLOMBREEN,62.42599860000001,2256.0,-2141.0,115.0,calving
2005,297,NO,STORGLOMBREEN,62.42599860000001,2736.0,-2406.0,330.0,calving
