YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1989,1510,CN,XIAO DONGKZMADI,1.767,152.0,373.0,525.0,
1990,1510,CN,XIAO DONGKZMADI,1.767,,,49.0,
1991,1510,CN,XIAO DONGKZMADI,1.767,,,-191.0,
1992,1510,CN,XIAO DONGKZMADI,1.767,,,376.0,
1993,1510,CN,XIAO DONGKZMADI,1.767,,,211.0,
1994,1510,CN,XIAO DONGKZMADI,,,,-510.0,
1995,1510,CN,XIAO DONGKZMADI,,,,-570.0,
1996,1510,CN,XIAO DONGKZMADI,,,,-495.0,
1997,1510,CN,XIAO DONGKZMADI,,,,345.0,
1998,1510,CN,XIAO DONGKZMADI,,,,-690.0,
1999,1510,CN,XIAO DONGKZMADI,,,,-315.0,
2000,1510,CN,XIAO DONGKZMADI,,,,-90.0,
2001,1510,CN,XIAO DONGKZMADI,,,,-195.0,
2002,1510,CN,XIAO DONGKZMADI,,,,-583.0,
2003,1510,CN,XIAO DONGKZMADI,,,,4.0,
2004,1510,CN,XIAO DONGKZMADI,,,,-153.0,
2005,1510,CN,XIAO DONGKZMADI,,,,-177.0,
2006,1510,CN,XIAO DONGKZMADI,,,,-917.0,
2007,1510,CN,XIAO DONGKZMADI,,,,-591.0,
2008,1510,CN,XIAO DONGKZMADI,,,,-80.0,
2009,1510,CN,XIAO DONGKZMADI,,,,-91.0,
2010,1510,CN,XIAO DONGKZMADI,,,,-1066.0,
