YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
2000,1238,GRAND ETRET,-221.0,RGI50-11.03298
2001,1238,GRAND ETRET,333.0,RGI50-11.03298
2002,1238,GRAND ETRET,-378.0,RGI50-11.03298
2003,1238,GRAND ETRET,-553.0,RGI50-11.03298
2004,1238,GRAND ETRET,-353.0,RGI50-11.03298
2005,1238,GRAND ETRET,-413.0,RGI50-11.03298
2006,1238,GRAND ETRET,-578.0,RGI50-11.03298
2008,1238,GRAND ETRET,-1363.0,RGI50-11.03298
2009,1238,GRAND ETRET,373.0,RGI50-11.03298
2012,1238,GRAND ETRET,-1158.0,RGI50-11.03298
2013,1238,GRAND ETRET,-270.0,RGI50-11.03298
