YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
1990,3295,SHOLES,-320.0,RGI50-02.01295
1991,3295,SHOLES,480.0,RGI50-02.01295
1992,3295,SHOLES,-1880.0,RGI50-02.01295
1993,3295,SHOLES,-960.0,RGI50-02.01295
1994,3295,SHOLES,-880.0,RGI50-02.01295
1995,3295,SHOLES,-250.0,RGI50-02.01295
1996,3295,SHOLES,60.0,RGI50-02.01295
1997,3295,SHOLES,420.0,RGI50-02.01295
1998,3295,SHOLES,-1560.0,RGI50-02.01295
1999,3295,SHOLES,1760.0,RGI50-02.01295
2000,3295,SHOLES,-80.0,RGI50-02.01295
2001,3295,SHOLES,-1830.0,RGI50-02.01295
2002,3295,SHOLES,210.0,RGI50-02.01295
2003,3295,SHOLES,-1120.0,RGI50-02.01295
2004,3295,SHOLES,-1860.0,RGI50-02.01295
2005,3295,SHOLES,-2840.0,RGI50-02.01295
2006,3295,SHOLES,-710.0,RGI50-02.01295
2007,3295,SHOLES,-210.0,RGI50-02.01295
2008,3295,SHOLES,200.0,RGI50-02.01295
2009,3295,SHOLES,-2680.0,RGI50-02.01295
2010,3295,SHOLES,940.0,RGI50-02.01295
2011,3295,SHOLES,1450.0,RGI50-02.01295
2012,3295,SHOLES,340.0,RGI50-02.01295
2013,3295,SHOLES,-1700.0,RGI50-02.01295
