YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1963,2671,NO,BREIDABLIKKBREA,3.922,1113.0,-2398.0,-1286.0,Homogenized,RGI60-08.02962
1964,2671,NO,BREIDABLIKKBREA,3.922,1792.0,-1708.0,84.0,Homogenized,RGI60-08.02962
1965,2671,NO,BREIDABLIKKBREA,3.922,1703.0,-2258.0,-555.0,Homogenized,RGI60-08.02962
1966,2671,NO,BREIDABLIKKBREA,3.922,1550.0,-3231.0,-1681.0,Homogenized,RGI60-08.02962
1967,2671,NO,BREIDABLIKKBREA,3.922,2944.0,-1717.0,1228.0,Homogenized,RGI60-08.02962
1968,2671,NO,BREIDABLIKKBREA,3.922,3440.0,-2688.0,752.0,Homogenized,RGI60-08.02962
2003,2671,NO,BREIDABLIKKBREA,3.37,2123.0,-4380.0,-2257.0,Homogenized,RGI60-08.02962
2004,2671,NO,BREIDABLIKKBREA,3.37,2246.0,-3117.0,-870.0,Homogenized,RGI60-08.02962
2005,2671,NO,BREIDABLIKKBREA,3.37,3044.0,-3371.0,-327.0,Homogenized,RGI60-08.02962
2006,2671,NO,BREIDABLIKKBREA,3.37,1492.0,-4440.0,-2948.0,Homogenized,RGI60-08.02962
2007,2671,NO,BREIDABLIKKBREA,3.37,3538.0,-3066.0,472.0,Homogenized,RGI60-08.02962
2008,2671,NO,BREIDABLIKKBREA,3.3699998,2664.0,-2961.0,-297.0,,RGI60-08.02962
2009,2671,NO,BREIDABLIKKBREA,3.371,2466.0,-2983.0,-518.0,,RGI60-08.02962
2010,2671,NO,BREIDABLIKKBREA,3.371,1596.0,-3533.0,-1937.0,,RGI60-08.02962
2011,2671,NO,BREIDABLIKKBREA,3.2109999,1877.0,-4157.0,-2280.0,,RGI60-08.02962
2012,2671,NO,BREIDABLIKKBREA,3.2109999,3192.0,-2062.0,1129.0,,RGI60-08.02962
2013,2671,NO,BREIDABLIKKBREA,3.2109999,,,-1111.0,,RGI60-08.02962
