YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1980,305,SJ,WERENSKIOLDBREEN,,700.0,-1350.0,-650.0,,RGI60-07.00246
1994,305,SJ,WERENSKIOLDBREEN,,,,-360.0,,RGI60-07.00246
2012,305,SJ,WERENSKIOLDBREEN,27.112868,880.0,-1280.0,-400.0,,RGI60-07.00246
2013,305,SJ,WERENSKIOLDBREEN,27.1128673,570.0,-2370.0,-1800.0,,RGI60-07.00246
2014,305,SJ,WERENSKIOLDBREEN,27.1128673,1326.0,-960.0,366.0,,RGI60-07.00246
2015,305,SJ,WERENSKIOLDBREEN,27.1128673,885.0,-1590.0,-705.0,,RGI60-07.00246
2016,305,SJ,WERENSKIOLDBREEN,27.11,572.0,-2367.0,-1795.0,,RGI60-07.00246
