YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1957,813,KG,KARA-BATKAK,,,,-31.0,
1958,813,KG,KARA-BATKAK,,,,62.0,
1959,813,KG,KARA-BATKAK,,,,-344.0,
1960,813,KG,KARA-BATKAK,,,,-291.0,
1961,813,KG,KARA-BATKAK,,,,-806.0,
1962,813,KG,KARA-BATKAK,,,,-86.0,
1963,813,KG,KARA-BATKAK,,,,-40.0,
1964,813,KG,KARA-BATKAK,,,,144.0,
1965,813,KG,KARA-BATKAK,,,,-41.0,
1966,813,KG,KARA-BATKAK,,,,-156.0,
1967,813,KG,KARA-BATKAK,,,,10.0,
1968,813,KG,KARA-BATKAK,,,,-652.0,
1969,813,KG,KARA-BATKAK,,,,0.0,
1970,813,KG,KARA-BATKAK,,,,-182.0,
1971,813,KG,KARA-BATKAK,,,,148.0,
1972,813,KG,KARA-BATKAK,,,,53.0,
1973,813,KG,KARA-BATKAK,,,,-753.0,
1974,813,KG,KARA-BATKAK,,,,-51.0,
1975,813,KG,KARA-BATKAK,4.1,,,-475.0,Area from table SECTION.
1976,813,KG,KARA-BATKAK,4.56,444.0,-1285.0,-850.0,
1977,813,KG,KARA-BATKAK,4.56,371.0,-1235.0,-860.0,
1978,813,KG,KARA-BATKAK,4.56,406.0,-1582.0,-1180.0,
1979,813,KG,KARA-BATKAK,4.56,573.0,-1074.0,-501.0,
1980,813,KG,KARA-BATKAK,4.56,670.0,-1034.0,-370.0,
1981,813,KG,KARA-BATKAK,4.56,577.0,-1024.0,-425.0,
1982,813,KG,KARA-BATKAK,4.56,323.0,-1107.0,-778.0,
1983,813,KG,KARA-BATKAK,4.56,211.0,-1159.0,-906.0,
1984,813,KG,KARA-BATKAK,4.56,235.0,-1807.0,-1570.0,
1985,813,KG,KARA-BATKAK,4.56,263.0,-1555.0,-1292.0,
1986,813,KG,KARA-BATKAK,4.56,663.0,-1055.0,-392.0,
1987,813,KG,KARA-BATKAK,4.56,432.0,-1114.0,-682.0,
1988,813,KG,KARA-BATKAK,4.56,791.0,-1247.0,-456.0,
1989,813,KG,KARA-BATKAK,4.56,691.0,-1087.0,-390.0,
1990,813,KG,KARA-BATKAK,4.56,730.0,-1508.0,-778.0,
1991,813,KG,KARA-BATKAK,4.19,,,-398.0,
1992,813,KG,KARA-BATKAK,4.19,,,-352.0,
1993,813,KG,KARA-BATKAK,4.19,,,-185.0,
1994,813,KG,KARA-BATKAK,4.19,,,-505.0,
1995,813,KG,KARA-BATKAK,4.19,,,-515.0,
1996,813,KG,KARA-BATKAK,4.19,585.0,-959.0,-374.0,
1997,813,KG,KARA-BATKAK,4.19,462.0,-1110.0,-648.0,
1998,813,KG,KARA-BATKAK,4.19,771.0,-1131.0,-360.0,
2014,813,KG,KARA-BATKAK,2.779,340.0,-1290.0,-950.0,
2015,813,KG,KARA-BATKAK,2.739,500.0,-1380.0,-880.0,
2016,813,KG,KARA-BATKAK,2.5,550.0,-940.0,-390.0,
