YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
1975,45,CA,HELM,3.1,,,-357.0,Area from table SECTION.,RGI60-02.00377
1976,45,CA,HELM,2.927,2623.0,-2055.0,568.0,,RGI60-02.00377
1977,45,CA,HELM,2.927,1464.0,-2928.0,-1464.0,,RGI60-02.00377
1978,45,CA,HELM,2.927,2162.0,-2946.0,-783.0,,RGI60-02.00377
1979,45,CA,HELM,2.927,1247.0,-3978.0,-2731.0,,RGI60-02.00377
1980,45,CA,HELM,2.927,1403.0,-2347.0,-944.0,,RGI60-02.00377
1982,45,CA,HELM,2.83,2410.0,-2750.0,-340.0,,RGI60-02.00377
1983,45,CA,HELM,2.43,2130.0,-2340.0,-209.0,,RGI60-02.00377
1984,45,CA,HELM,2.43,1790.0,-2110.0,-320.0,,RGI60-02.00377
1985,45,CA,HELM,2.246,1690.0,-3420.0,-1728.0,,RGI60-02.00377
1986,45,CA,HELM,2.15,2150.0,-3484.0,-1334.0,,RGI60-02.00377
1987,45,CA,HELM,1.95,2128.0,-2917.0,-788.0,,RGI60-02.00377
1988,45,CA,HELM,1.456,2065.0,-2624.0,-150.0,Dyurgerov M. (2002): Net balance also reported as -559.,RGI60-02.00377
1989,45,CA,HELM,1.41,1641.0,-3223.0,-1670.0,,RGI60-02.00377
1990,45,CA,HELM,,,,-1790.0,,RGI60-02.00377
1991,45,CA,HELM,0.92,,,-2239.0,,RGI60-02.00377
1992,45,CA,HELM,0.92,,,-2798.0,,RGI60-02.00377
1993,45,CA,HELM,0.92,,,-2342.0,,RGI60-02.00377
1994,45,CA,HELM,0.92,,,-1885.0,,RGI60-02.00377
1995,45,CA,HELM,0.92,,,-1465.0,,RGI60-02.00377
1996,45,CA,HELM,,,,211.0,,RGI60-02.00377
1997,45,CA,HELM,,,,-1073.0,,RGI60-02.00377
1998,45,CA,HELM,,,,-2850.0,,RGI60-02.00377
1999,45,CA,HELM,,,,1500.0,,RGI60-02.00377
2000,45,CA,HELM,,,,110.0,,RGI60-02.00377
2001,45,CA,HELM,,,,-600.0,,RGI60-02.00377
2002,45,CA,HELM,,,,-2544.0,,RGI60-02.00377
2003,45,CA,HELM,,,,-1895.0,,RGI60-02.00377
2004,45,CA,HELM,0.756,,,-1995.0,,RGI60-02.00377
2005,45,CA,HELM,0.756,,,-2765.0,,RGI60-02.00377
2006,45,CA,HELM,,,,-2750.0,,RGI60-02.00377
2007,45,CA,HELM,,,,-210.0,,RGI60-02.00377
2008,45,CA,HELM,,,,-2300.0,,RGI60-02.00377
2009,45,CA,HELM,,,,-510.0,,RGI60-02.00377
2010,45,CA,HELM,,,,-190.0,,RGI60-02.00377
2011,45,CA,HELM,,,,-195.0,,RGI60-02.00377
2012,45,CA,HELM,,,,650.0,,RGI60-02.00377
2013,45,CA,HELM,,,,-2950.0,,RGI60-02.00377
2015,45,CA,HELM,,,,-2500.0,,RGI60-02.00377
2016,45,CA,HELM,,1690.0,-2970.0,-1280.0,,RGI60-02.00377
2017,45,CA,HELM,,1807.0,-2714.0,-907.0,,RGI60-02.00377
2018,45,CA,HELM,,1940.0,-3350.0,-1410.0,,RGI60-02.00377
2019,45,CA,HELM,,1670.0,-3660.0,-1990.0,,RGI60-02.00377
