YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1988,320,NO,SVARTISHEIBREEN,5.48,2420.0,-4029.0,-1609.0,
1989,320,NO,SVARTISHEIBREEN,5.48,3722.0,-1360.0,2362.0,
1990,320,NO,SVARTISHEIBREEN,5.48,3788.0,-2971.0,817.0,
1991,320,NO,SVARTISHEIBREEN,5.48,2610.0,-2437.0,173.0,
1992,320,NO,SVARTISHEIBREEN,5.48,3886.0,-2677.0,1209.0,
1993,320,NO,SVARTISHEIBREEN,5.48,3499.0,-2587.0,912.0,
1994,320,NO,SVARTISHEIBREEN,5.48,1827.0,-1852.0,-29.0,
1995,320,NO,SVARTISHEIBREEN,5.5,,,900.0,
1996,320,NO,SVARTISHEIBREEN,5.5,,,400.0,
1997,320,NO,SVARTISHEIBREEN,5.5,,,700.0,
1998,320,NO,SVARTISHEIBREEN,5.5,,,5.0,
1999,320,NO,SVARTISHEIBREEN,5.5,,,-600.0,
2000,320,NO,SVARTISHEIBREEN,5.5,,,700.0,
