YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
1962,359,GRIES,-984.0,RGI50-11.01876
1963,359,GRIES,-180.0,RGI50-11.01876
1964,359,GRIES,-688.0,RGI50-11.01876
1965,359,GRIES,445.0,RGI50-11.01876
1966,359,GRIES,-357.0,RGI50-11.01876
1967,359,GRIES,29.0,RGI50-11.01876
1968,359,GRIES,379.0,RGI50-11.01876
1969,359,GRIES,733.0,RGI50-11.01876
1970,359,GRIES,-758.0,RGI50-11.01876
1971,359,GRIES,-527.0,RGI50-11.01876
1972,359,GRIES,408.0,RGI50-11.01876
1973,359,GRIES,-1095.0,RGI50-11.01876
1974,359,GRIES,-178.0,RGI50-11.01876
1975,359,GRIES,378.0,RGI50-11.01876
1976,359,GRIES,-1021.0,RGI50-11.01876
1977,359,GRIES,1166.0,RGI50-11.01876
1978,359,GRIES,1056.0,RGI50-11.01876
1979,359,GRIES,-885.0,RGI50-11.01876
1980,359,GRIES,570.0,RGI50-11.01876
1981,359,GRIES,-324.0,RGI50-11.01876
1982,359,GRIES,-1304.0,RGI50-11.01876
1983,359,GRIES,-779.0,RGI50-11.01876
1984,359,GRIES,-4.0,RGI50-11.01876
1985,359,GRIES,-526.0,RGI50-11.01876
1986,359,GRIES,-947.0,RGI50-11.01876
1987,359,GRIES,-733.0,RGI50-11.01876
1988,359,GRIES,-924.0,RGI50-11.01876
1989,359,GRIES,-1071.0,RGI50-11.01876
1990,359,GRIES,-1988.0,RGI50-11.01876
1991,359,GRIES,-1344.0,RGI50-11.01876
1992,359,GRIES,-1125.0,RGI50-11.01876
1993,359,GRIES,-1052.0,RGI50-11.01876
1994,359,GRIES,-209.0,RGI50-11.01876
1995,359,GRIES,-278.0,RGI50-11.01876
1996,359,GRIES,-517.0,RGI50-11.01876
1997,359,GRIES,-1068.0,RGI50-11.01876
1998,359,GRIES,-2053.0,RGI50-11.01876
1999,359,GRIES,-564.0,RGI50-11.01876
2000,359,GRIES,-985.0,RGI50-11.01876
2001,359,GRIES,-229.0,RGI50-11.01876
2002,359,GRIES,-990.0,RGI50-11.01876
2003,359,GRIES,-2711.0,RGI50-11.01876
2004,359,GRIES,-1146.0,RGI50-11.01876
2005,359,GRIES,-1512.0,RGI50-11.01876
2006,359,GRIES,-1995.0,RGI50-11.01876
2007,359,GRIES,-1473.0,RGI50-11.01876
2008,359,GRIES,-1601.0,RGI50-11.01876
2009,359,GRIES,-883.0,RGI50-11.01876
2010,359,GRIES,-1307.0,RGI50-11.01876
2011,359,GRIES,-1802.0,RGI50-11.01876
2012,359,GRIES,-2040.0,RGI50-11.01876
2013,359,GRIES,-542.0,RGI50-11.01876
2014,359,GRIES,-610.0,RGI50-11.01876
