YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1976,808,KZ,MAYAKOVSKIY,0.18,,,-230.0,
1977,808,KZ,MAYAKOVSKIY,0.18,,,-320.0,
1978,808,KZ,MAYAKOVSKIY,0.18,,,-850.0,
1979,808,KZ,MAYAKOVSKIY,0.18,,,-428.0,
1980,808,KZ,MAYAKOVSKIY,0.18,,,-330.0,
1981,808,KZ,MAYAKOVSKIY,0.18,,,180.0,
1982,808,KZ,MAYAKOVSKIY,0.18,,,-230.0,
1983,808,KZ,MAYAKOVSKIY,0.18,,,-160.0,
1984,808,KZ,MAYAKOVSKIY,0.18,,,-710.0,
1985,808,KZ,MAYAKOVSKIY,0.18,,,-170.0,
1986,808,KZ,MAYAKOVSKIY,,,,-140.0,
1987,808,KZ,MAYAKOVSKIY,,,,0.0,
1988,808,KZ,MAYAKOVSKIY,,,,-210.0,
1989,808,KZ,MAYAKOVSKIY,,,,-100.0,
1990,808,KZ,MAYAKOVSKIY,,,,-490.0,
