YEAR,WGMS_ID,NAME,ANNUAL_BALANCE,RGI_ID
1995,1624,ANTIZANA15ALPHA,-1830.0,RGI50-16.01339
1996,1624,ANTIZANA15ALPHA,-428.0,RGI50-16.01339
1997,1624,ANTIZANA15ALPHA,-612.0,RGI50-16.01339
1998,1624,ANTIZANA15ALPHA,-845.0,RGI50-16.01339
1999,1624,ANTIZANA15ALPHA,515.0,RGI50-16.01339
2000,1624,ANTIZANA15ALPHA,396.0,RGI50-16.01339
2001,1624,ANTIZANA15ALPHA,-601.0,RGI50-16.01339
2002,1624,ANTIZANA15ALPHA,-776.0,RGI50-16.01339
2003,1624,ANTIZANA15ALPHA,-1405.0,RGI50-16.01339
2004,1624,ANTIZANA15ALPHA,-570.0,RGI50-16.01339
2005,1624,ANTIZANA15ALPHA,-776.0,RGI50-16.01339
2006,1624,ANTIZANA15ALPHA,-452.0,RGI50-16.01339
2007,1624,ANTIZANA15ALPHA,-658.0,RGI50-16.01339
2008,1624,ANTIZANA15ALPHA,337.0,RGI50-16.01339
2009,1624,ANTIZANA15ALPHA,-828.0,RGI50-16.01339
2010,1624,ANTIZANA15ALPHA,-939.0,RGI50-16.01339
2011,1624,ANTIZANA15ALPHA,163.0,RGI50-16.01339
2012,1624,ANTIZANA15ALPHA,-420.0,RGI50-16.01339
2013,1624,ANTIZANA15ALPHA,-450.0,RGI50-16.01339
