YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1976,810,KZ,ZOYA KOSMODEMYANSKAYA,0.36,,,-300.0,
1977,810,KZ,ZOYA KOSMODEMYANSKAYA,0.36,,,-820.0,
1978,810,KZ,ZOYA KOSMODEMYANSKAYA,0.36,,,-1220.0,
1979,810,KZ,ZOYA KOSMODEMYANSKAYA,0.36,,,-130.0,
1980,810,KZ,ZOYA KOSMODEMYANSKAYA,0.36,,,-230.0,
1981,810,KZ,ZOYA KOSMODEMYANSKAYA,0.36,,,150.0,
1982,810,KZ,ZOYA KOSMODEMYANSKAYA,0.36,,,-370.0,
1983,810,KZ,ZOYA KOSMODEMYANSKAYA,0.36,,,-290.0,
1984,810,KZ,ZOYA KOSMODEMYANSKAYA,0.36,,,-890.0,
1985,810,KZ,ZOYA KOSMODEMYANSKAYA,0.36,,,-310.0,
1986,810,KZ,ZOYA KOSMODEMYANSKAYA,,,,-270.0,
1987,810,KZ,ZOYA KOSMODEMYANSKAYA,,,,-120.0,
1988,810,KZ,ZOYA KOSMODEMYANSKAYA,,,,-350.0,
1989,810,KZ,ZOYA KOSMODEMYANSKAYA,,,,-220.0,
1990,810,KZ,ZOYA KOSMODEMYANSKAYA,,,,-640.0,
