YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS,RGI_ID
2010,2488,IT,SURETTA MERID.,0.181,2689.0,-2590.0,99.0,,RGI50-11.01662
2011,2488,IT,SURETTA MERID.,0.181,,,-1474.0,,RGI50-11.01662
2012,2488,IT,SURETTA MERID.,0.181,2255.0,-3644.0,-1389.0,,RGI50-11.01662
2013,2488,IT,SURETTA MERID.,0.161,2820.0,-3351.0,-531.0,,RGI50-11.01662
2014,2488,IT,SURETTA MERID.,0.161101,,,378.0,,RGI50-11.01662
2015,2488,IT,SURETTA MERID.,0.1611009,2584.0,-3493.0,-909.0,,RGI50-11.01662
2016,2488,IT,SURETTA MERID.,0.154,2185.0,-3521.0,-1336.0,,RGI50-11.01662
2017,2488,IT,SURETTA MERID.,0.154,1967.0,-4250.0,-2283.0,,RGI50-11.01662
2018,2488,IT,SURETTA MERID.,0.131,2009.0,-4450.0,-2441.0,,RGI50-11.01662
2019,2488,IT,SURETTA MERID.,0.131,3161.0,-3305.0,-144.0,,RGI50-11.01662
