YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
2004,3983,CL,GUANACO,,,,-530.0,
2005,3983,CL,GUANACO,,,,-1070.0,
2006,3983,CL,GUANACO,,,,210.0,
2007,3983,CL,GUANACO,,,,-590.0,
2008,3983,CL,GUANACO,,,,-210.0,
2009,3983,CL,GUANACO,,,,-240.0,
2010,3983,CL,GUANACO,1.762,,,-770.0,
2011,3983,CL,GUANACO,1.783,-30.0,-970.0,-1000.0,
2012,3983,CL,GUANACO,1.678,70.0,-780.0,-710.0,
2013,3983,CL,GUANACO,1.695,800.0,-1310.0,-510.0,
2014,3983,CL,GUANACO,1.637,70.0,-950.0,-880.0,
2015,3983,CL,GUANACO,1.605,,,-1130.0,
