YEAR,WGMS_ID,POLITICAL_UNIT,NAME,AREA,WINTER_BALANCE,SUMMER_BALANCE,ANNUAL_BALANCE,REMARKS
1967,3912,SJ,VOERINGBREEN,,,,-200.0,
1974,3912,SJ,VOERINGBREEN,,600.0,-1800.0,-1200.0,
1975,3912,SJ,VOERINGBREEN,,750.0,-1000.0,-250.0,
1976,3912,SJ,VOERINGBREEN,,470.0,-1640.0,-1170.0,
1977,3912,SJ,VOERINGBREEN,,540.0,-700.0,-160.0,
1978,3912,SJ,VOERINGBREEN,,500.0,-1680.0,-1180.0,
1979,3912,SJ,VOERINGBREEN,,495.0,-1400.0,-905.0,
1980,3912,SJ,VOERINGBREEN,,540.0,-1040.0,-500.0,
1981,3912,SJ,VOERINGBREEN,,500.0,-1400.0,-900.0,
1982,3912,SJ,VOERINGBREEN,,500.0,-520.0,-20.0,
1983,3912,SJ,VOERINGBREEN,,580.0,-1100.0,-520.0,
1984,3912,SJ,VOERINGBREEN,,700.0,-1800.0,-1100.0,
1985,3912,SJ,VOERINGBREEN,,750.0,-1230.0,-480.0,
1986,3912,SJ,VOERINGBREEN,,700.0,-1250.0,-550.0,
1987,3912,SJ,VOERINGBREEN,,560.0,-920.0,-360.0,
1988,3912,SJ,VOERINGBREEN,,880.0,-1400.0,-520.0,
