CenLon,CenLat,POLITICAL_UNIT,NAME,WGMS_ID,PSFG_ID,WGI_ID,GLIMS_ID,RGI60_ID,RGI_REG,RGI_REG_NAME,GlacierType,TerminusType,IsTidewater,N_MB_YRS,HAS_PROFILE,REMARKS
-57.3729,-63.8619,AQ,BAHIA DEL DIABLO,2665,,,G302570E63825S,RGI60-19.00595,19,Antarctic and Subantarctic,Glacier,Marine-terminating,True,17,True,RGI link checked manually.
-58.8882,-62.1653,AQ,BELLINGSHAUSEN,6833,,,G301112E62165S,RGI60-19.01992,19,Antarctic and Subantarctic,Glacier,Land-terminating,False,5,False,
-60.6025,-63.0041,AQ,G1,3925,,,,RGI60-19.02101,19,Antarctic and Subantarctic,Glacier,Land-terminating,False,6,False,RGI link checked manually.
-60.3948,-62.6827,AQ,HURD,3367,,AQ0006C00000,,RGI60-19.02057,19,Antarctic and Subantarctic,Ice cap,Marine-terminating,True,15,False,RGI link checked manually.
-60.3547,-62.6707,AQ,JOHNSONS,3366,,AQ0006C00000,,RGI60-19.02059,19,Antarctic and Subantarctic,Ice cap,Marine-terminating,True,15,False,RGI link checked manually.
-69.9486,-29.1741,AR,BROWN SUPERIOR,3903,,,,RGI60-17.14923,17,Southern Andes,Glacier,Land-terminating,False,10,True,RGI link checked manually.
-69.7682,-29.1453,AR,CONCONTA NORTE,3902,,,,RGI60-17.14924,17,Southern Andes,Glacier,Land-terminating,False,10,True,RGI link checked manually.
-69.3786,-28.2166,AR,LOS AMARILLOS,3904,,,,RGI60-17.15131,17,Southern Andes,Glacier,Land-terminating,False,10,True,RGI link checked manually.
-68.4093,-54.7862,AR,MARTIAL ESTE,2000,,,,RGI60-17.02128,17,Southern Andes,Glacier,Land-terminating,False,16,True,RGI link checked manually.
-69.8755,-31.5818,AR,PILOTO ESTE,3589,,AR1J11100000,,RGI60-17.14445,17,Southern Andes,Glacier,Land-terminating,False,24,False,RGI link checked manually.
12.5956,47.1403,AT,FILLECK K.,476,AT0601B,ATJ143S0A098,,RGI60-11.00073,11,Central Europe,Glacier,Land-terminating,False,17,False,RGI link checked manually.
12.9702,47.0421,AT,GOLDBERG K.,1305,AT0802B,,,RGI60-11.00289,11,Central Europe,Glacier,Land-terminating,False,26,True,RGI link checked manually.
