RGI_ID,NAME,CENLON,CENLAT,WGMS_ID
RGI50-10.03944,Sw Mutnovskiy Glacier,158.1574,52.4528,787
RGI50-10.04358,Koryto Glacier,161.8024,54.8307,791
RGI50-10.05085,Su5A03003026 Obruchev Glacier,65.7806,67.6368,729
RGI50-10.05087,Su5A03003027 Igan Glacier,66.0024,67.5798,730
RGI50-11.00012,Hochkoenig,13.0581,47.4242,3993
RGI50-11.00080,Stubacher Sonnblickkees,12.5964,47.1316,573
RGI50-11.00106,Pasterze,12.6967,47.0991,566
RGI50-11.00251,Kleinfleisskees,12.9472,47.053,547
RGI50-11.00289,Goldbergkees,12.9702,47.0421,1305
RGI50-11.00300,Wurtenkees,13.0049,47.0385,545
RGI50-11.00603,Vedretta Pendente,11.2247,46.9656,675
RGI50-11.00619,Vedretta Malavalle,11.1528,46.9566,672
RGI50-11.00719,Vernagtferner,10.818,46.8762,489
RGI50-11.00781,Jamtalferner,10.1603,46.8577,480
RGI50-11.00787,Kesselwandferner,10.7907,46.8424,507
RGI50-11.00804,Silvretta,10.0766,46.8524,408
RGI50-11.00897,Hintereisferner,10.7584,46.8003,491
RGI50-11.00892,Plattalva,8.9887,46.833,420
RGI50-11.00918,Limmern,8.9774,46.8133,421
RGI50-11.01238,Rhone,8.3965,46.6236,473
RGI50-11.01704,Fontana Bianca,10.771,46.4838,1507
RGI50-11.01876,Gries,8.3302,46.4383,359
RGI50-11.01987,Basodino,8.4812,46.416,463
RGI50-11.02214,Sforzellina,10.5127,46.348,667
RGI50-11.02835,Argentiere,6.9982,45.9429,354
RGI50-11.03254,Ciardoney,7.3898,45.5181,1264
RGI50-11.03298,Grand Etret,7.2204,45.4757,1238
RGI50-11.03432,Gebroulaz,6.6279,45.298,352
RGI50-11.03503,Saint Sorlin,6.1602,45.1604,356
RGI50-11.03515,Sarennes,6.1327,45.1325,357
RGI50-11.03818,Maladeta,0.6393,42.649,942
RGI50-11.03841,Ossoue,-0.1412,42.7712,2867
RGI50-11.03967,Calderone,13.5667,42.4705,1107
RGI50-11.03974,Nordlicher Schneeferner,10.9829,47.4159,346
RGI50-12.00161,Garabashi Glacier,42.4674,43.3121,761
RGI50-12.00807,Tbilisa Glacier,42.4732,43.1296,724
RGI50-12.00960,Marukh Glacier,41.4156,43.3638,727
RGI50-12.01132,Dzhankuat Glacier,42.7612,43.1944,726
RGI50-12.01252,Bezengi Glacier,43.084,43.0332,703
RGI50-12.01302,Tseya Glacier,43.8232,42.75,704
RGI50-13.05496,Muravlev Glacier,80.2389,45.0954,796
RGI50-13.05504,Shumskiy Glacier,80.2297,45.082,797
RGI50-13.06359,Karabatkak Glacier,78.3048,42.1461,813
RGI50-13.08055,Sary Tor Gl,78.1814,41.827,805
RGI50-13.08615,Mayakovskiy Glacier,77.1098,43.0213,808
