,lon,lat,n_mb_years,tstar,prcp_fac,bias
RGI50-01.00570,-145.427,63.281,51,1922,2.5,522.4934723118564
RGI50-01.01104,-134.349,58.38,64,1962,2.5,242.84001150113636
RGI50-01.02228,-143.847625732,69.302070618,13,1960,2.5,-2.1023275343544015
RGI50-01.04591,-131.062,56.955,9,1961,2.5,-11.589921895289251
RGI50-01.05211,-130.684,56.975,9,1962,2.5,139.1599935340821
RGI50-01.05355,-130.83,57.091,8,1962,2.5,368.4926607178213
RGI50-01.09162,-148.908,60.412,51,1935,2.5,-7.352330639728734
RGI50-02.00644,-121.744,46.8256,11,1959,2.5,4.484445459267022
RGI50-02.00651,-121.713,46.8647,11,1959,2.5,-10.915610736653093
RGI50-02.00686,-121.161,47.5591,33,1960,2.5,-21.56767560287591
RGI50-02.00837,-121.353,47.97,33,1958,2.5,25.93993835428705
RGI50-02.00874,-120.895,48.1717,14,1961,2.5,132.03280684203418
RGI50-02.00941,-121.059,48.3574,60,1961,2.5,301.5585247127408
RGI50-02.00971,-120.79,48.41,22,1941,2.5,-5.9639493640864885
RGI50-02.00974,-121.031,48.4136,10,1939,2.5,12.900109564086506
RGI50-02.00992,-121.031,48.4474,33,1961,2.5,100.37142717217364
RGI50-02.01093,-121.093,48.5729,23,1961,2.5,-5.983779604258643
RGI50-02.01146,-113.756,48.625,11,1961,2.5,366.93975544117717
RGI50-02.01170,-121.527,48.6735,23,1957,2.5,6.645259217930857
RGI50-02.01295,-121.769,48.8142,27,1960,2.5,19.942038353561998
RGI50-02.01299,-121.777,48.7989,33,1957,2.5,-15.354193313217706
RGI50-02.01305,-121.827,48.7489,27,1956,2.5,-9.70372781656431
RGI50-02.01356,-121.622,48.8259,33,1961,2.5,27.343906672731805
RGI50-02.01464,-121.24,48.9769,23,1998,2.5,-2.1703787648266086
RGI50-02.01779,-122.979,49.8876,24,1956,2.5,17.882044363173918
RGI50-02.01860,-122.989,49.9609,39,1918,2.5,742.4193461720688
RGI50-02.02587,-122.605,50.4195,51,1919,2.5,612.7499505333128
RGI50-02.03590,-123.414,50.7918,10,1963,2.5,24.91045293038769
RGI50-02.04114,-123.621,50.872,10,1962,2.5,0.012895512589238933
RGI50-02.04119,-123.639,50.8216,5,1961,2.5,528.6648807263891
RGI50-02.04693,-118.061,51.1141,10,1922,2.5,269.06612918463725
RGI50-02.05862,-125.136,51.3432,7,1962,2.5,947.4580365476222
RGI50-02.05986,-124.911,51.4455,8,1963,2.5,419.8190477642779
RGI50-02.06581,-116.56,51.6585,49,1922,2.5,320.4149238256241
RGI50-02.07173,-116.486,51.819,10,1917,2.5,325.3185918711647
RGI50-02.13914,-121.68,45.3805,15,2000,2.5,12.176144750160006
RGI50-02.13924,-123.694,47.81,46,1955,2.5,18.55089297224012
RGI50-02.13974,-114.965,75.4291,53,1917,2.5,201.30617497523556
RGI50-03.00691,-99.1904,79.982,56,1982,2.5,111.01832325806802
RGI50-03.00840,-90.9688,79.4405,34,1933,2.5,-4.588696489230074
RGI50-03.01427,-79.1438,75.8872,6,1968,2.5,367.25332859204195
RGI50-03.01623,-64.1739,81.9561,7,1918,2.5,482.21360417922165
RGI50-03.04079,-74.2248,83.1066,23,1982,2.5,41.81314484806671
RGI50-03.04539,-90.87697,79.5146,53,1918,2.5,55.2218910444291
RGI50-04.03082,-69.8037,69.6303,5,1933,2.5,-5.650978347822729
RGI50-04.06187,-73.0575,70.0214,10,1927,2.5,230.43246608038876
RGI50-05.00115,-52.1262,65.6,5,1967,2.5,10.539416743492893
RGI50-05.00446,-50.3208,66.1325,9,2001,2.5,16.85017701468402
RGI50-05.05149,-45.3055,61.4421,5,1933,2.5,85.8534940320742
RGI50-05.11186,-37.8032,65.6957,21,1974,2.5,-0.07552839177026271
RGI50-05.20030,-20.8288,74.3778,8,1968,2.5,4.849119350510136
RGI50-06.00234,-18.6422,64.7989,28,1978,2.5,235.36892360073546
RGI50-06.00236,-19.0241,64.757,26,1978,2.5,469.1029620811315
RGI50-06.00238,-18.9072,64.9014,28,1978,2.5,251.14711688831198
RGI50-06.00310,-20.0311,64.6423,19,1978,2.5,914.1937416275587
RGI50-06.00377,-16.2675,64.5867,23,1966,2.5,19.93160021798451
RGI50-06.00424,-17.7174,64.5628,22,1978,2.5,43.456804828681584
RGI50-06.00443,-17.927,64.3475,24,1982,2.5,904.3804150895842
RGI50-06.00472,-15.6083,64.6284,24,1978,2.5,284.9371216580297
RGI50-06.00477,-17.0539,64.6745,18,1959,2.5,-3.9951144210792506
RGI50-06.00483,-16.4767,64.2666,7,1978,2.5,442.7706499520309
RGI50-07.00231,15.2378,77.461,18,1917,2.5,340.3500306194495
RGI50-07.00382,18.8089,78.086,6,1917,2.5,323.55101485737254
