CenLon,CenLat,POLITICAL_UNIT,NAME,WGMS_ID,PSFG_ID,WGI_ID,GLIMS_ID,RGI40_ID,RGI50_ID,RGI60_ID,RGI_REG,RGI_REG_NAME,GlacierType,TerminusType,IsTidewater,N_MB_YRS,HAS_PROFILE,REMARKS
7.29108,45.9647,CH,CORBASSIERE,366,CH0038,CHN012803003,,,RGI50-11.02782,RGI60-11.02766,11,11: Central Europe,Glacier,Land-terminating,False,22,True,RGI link checked manually.
9.8243,46.419,CH,CORVATSCH SOUTH,4535,,CHJ143200000,,,RGI50-11.01962,RGI60-11.01962,11,11: Central Europe,Glacier,Land-terminating,False,5,True,RGI link automated.
7.87051,45.9936,CH,FINDELEN,389,CH0016,CHN012506003,,,RGI50-11.02789,RGI60-11.02773,11,11: Central Europe,Glacier,Land-terminating,False,14,True,RGI link checked manually.
9.70108,46.3085,CH,FORNO,396,CH0102,CHL011803012,,,RGI50-11.02245,RGI60-11.02245,11,11: Central Europe,Glacier,Land-terminating,False,6,True,RGI link checked manually.
7.38888,45.9921,CH,GIETRO,367,CH0037,CHN012802014,,,RGI50-11.02791,RGI60-11.02774,11,11: Central Europe,Glacier,Land-terminating,False,52,True,RGI link checked manually.
8.33019,46.4383,CH,GRIES,359,CH0003,CHN012405004,,,RGI50-11.01876,RGI60-11.01876,11,11: Central Europe,Glacier,Land-terminating,False,57,True,RGI link checked manually.
8.01919,46.5028,CH,GROSSER ALETSCH,360,CH0005,CHN012306026,,,RGI50-11.01450,RGI60-11.01450,11,11: Central Europe,Glacier,Land-terminating,False,60,False,RGI link checked manually.
7.9131,46.055,CH,HOHLAUB,3332,,,,,RGI50-11.02690,RGI60-11.02679,11,11: Central Europe,Glacier,Land-terminating,False,63,True,RGI link checked manually.
7.9245,46.0649,CH,KESSJEN,393,CH0012,CHN012502033,,,RGI50-11.02682,RGI60-11.02671,11,11: Central Europe,Glacier,Land-terminating,False,40,True,RGI link checked manually.
8.97739,46.8133,CH,LIMMERN,421,CH0078,CHR013500I 6,,,RGI50-11.00918,RGI60-11.00918,11,11: Central Europe,Glacier,Land-terminating,False,38,True,RGI link checked manually.
