,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,8,1898,-6.4092721006009015
RGI60-11.00012,13.0581,47.4242,10,1934,-1.3712457937597264
RGI60-11.00073,12.5956,47.1403,17,1872,0.7648864770740147
RGI60-11.00080,12.5964,47.1316,63,1936,0.27716310656057885
RGI60-11.00106,12.6967,47.0991,28,1880,-2.105964939895671
RGI60-11.00190,12.3784,47.0851,8,1984,14.512316832338911
RGI60-11.00251,12.9472,47.053,16,1986,3.7057242525193033
RGI60-11.00289,12.9702,47.0421,26,1954,3.5448431465143813
RGI60-11.00300,13.0049,47.0385,32,1899,-12.73453648423856
RGI60-11.00603,11.2247,46.9656,19,1911,207.65083039044237
RGI60-11.00619,11.1528,46.9566,13,1966,3.0644283336007447
RGI60-11.00638,9.38896,46.9603,8,1911,140.12354329234358
RGI60-11.00647,12.0965,46.9069,6,1979,4.147571815942911
RGI60-11.00719,10.818,46.8762,50,1973,6.982153240109199
RGI60-11.00781,10.1603,46.8577,26,1905,7.76222423882939
RGI60-11.00787,10.7907,46.8424,62,1981,-6.200162146418023
RGI60-11.00797,10.1054,46.8515,9,1931,-9.046364945234018
RGI60-11.00804,10.0766,46.8524,96,1885,-5.993022773288828
RGI60-11.00807,10.1309,46.8529,9,1905,251.04125827290875
RGI60-11.00843,8.89117,46.8442,100,1973,2.4541539835791184
RGI60-11.00892,8.98871,46.833,42,1917,1.4096384992122353
RGI60-11.00897,10.7584,46.8003,62,1927,-3.205193598405799
RGI60-11.00918,8.97739,46.8133,38,1925,15.428515031691717
RGI60-11.00929,11.0191,46.7817,8,1885,2.1241854814807084
RGI60-11.00957,10.8054,46.7801,5,1893,0.10606130859537188
RGI60-11.01238,8.3965,46.6236,33,1901,35.835394588246345
RGI60-11.01450,8.01919,46.5028,60,1903,58.32553565657571
RGI60-11.01662,9.36354,46.5056,5,1879,13.763092800751906
RGI60-11.01704,10.771,46.4838,28,1928,0.33312667820155184
RGI60-11.01776,10.6115,46.4674,11,1885,-2.0127302051284914
RGI60-11.01834,10.7085,46.4512,48,1903,190.19622364914903
RGI60-11.01863,10.6286,46.4337,12,1944,14.474445720352946
RGI60-11.01876,8.33019,46.4383,53,1900,3.2394433352437773
RGI60-11.01930,10.1119,46.4296,5,1874,9.1813731520092
RGI60-11.01987,8.4812,46.416,23,1932,-0.657368375309602
RGI60-11.02072,7.51198,46.3839,5,1911,744.1546998919066
RGI60-11.02214,10.5127,46.348,14,1911,155.84235623364486
RGI60-11.02245,9.70108,46.3085,6,1903,289.22471468383594
RGI60-11.02249,7.22536,46.3202,5,1970,718.9202351632614
RGI60-11.02285,9.64185,46.2987,6,1905,230.6911562671213
RGI60-11.02648,9.98941,46.0754,5,1999,-1.7753936952309246
RGI60-11.02671,7.9245,46.0649,40,1922,-2.8972911316120644
RGI60-11.02679,7.9131,46.055,59,1982,3.5471047692233526
RGI60-11.02704,7.90949,46.0336,59,1942,-0.4706844171267619
RGI60-11.02746,7.92806,46.0081,59,1930,0.4430358412779185
RGI60-11.02764,7.87661,46.0124,9,1936,13.368733891915781
RGI60-11.02766,7.29108,45.9647,18,1931,5.972031066088789
RGI60-11.02773,7.87051,45.9936,10,1982,2.4140240574852214
RGI60-11.02774,7.38888,45.9921,48,1891,1.0997166418771371
RGI60-11.03084,7.27894,45.5592,14,1879,-1.6854578932624236
RGI60-11.03135,7.38984,45.5181,23,1903,416.9176476357984
RGI60-11.03166,7.2204,45.4757,12,1929,0.7814363802544335
RGI60-11.03246,10.982920789,47.415938932,6,1868,0.9971372693053979
RGI60-11.03638,6.985,45.951,39,1966,154.34630144326923
RGI60-11.03643,6.934,45.883,8,1978,3.9585484877684394
RGI60-11.03671,6.629,45.295,20,1903,127.90553560080048
RGI60-11.03674,6.159,45.16,58,1925,300.4505423665347
RGI60-11.03756,6.130521774,45.116443634,66,1925,666.2488214369857
