,lon,lat,n_mb_years,tstar,bias
RGI60-08.01598,13.761,66.557,13,1958,-1.6181010240923115
RGI60-08.01657,13.853,66.657,47,1994,2.2840165620263804
RGI60-08.01764,7.486,60.639,5,1917,738.7118606417503
RGI60-08.01779,7.405,60.537,54,1988,0.9139141054635047
RGI60-08.02017,6.542,61.416,5,1994,10.741665485714108
RGI60-08.02384,16.043,67.291,8,1986,285.4165723014189
RGI60-08.02436,17.852,68.34,6,1978,174.90522079637702
RGI60-08.02458,17.917,68.217,10,1953,0.34696284984130443
RGI60-08.02650,5.672,61.746,30,1917,186.36719211777347
RGI60-08.02666,5.644,61.747,54,1976,-4.668939877447009
RGI60-08.02916,6.322,60.028,5,1926,1.1307740548321377
RGI60-08.02920,6.269,59.989,7,1951,-361.08230242048273
RGI60-08.02962,6.38,60.067,17,1917,397.32215110652885
RGI60-08.02963,6.408,60.078,18,1917,201.1402149548261
RGI60-08.03416,14.296,66.006,11,1979,-1.6267168846554227
RGI60-10.01107,86.710266113,49.823951721,5,1923,0.1465343927968661
RGI60-10.01121,86.703071594,49.813026428,5,1920,-10.903193024808502
RGI60-10.01708,87.780303955,50.047698975,36,1963,2.101245054020751
RGI60-10.01732,87.745521545,50.049674988,51,1940,0.1801698367717961
RGI60-10.01735,87.697410583,50.061340332,11,2001,-44.49116693728038
RGI60-10.01737,87.690246582,50.080078125,36,1941,0.5835410973640478
RGI60-10.03264,140.865356445,62.588794708,13,1955,172.79741378981973
RGI60-10.03941,158.180389404,52.46206665,5,1984,11.594691039006108
RGI60-10.03944,158.157409668,52.452796936,5,1988,-1.8345401515774142
RGI60-10.04358,161.802352905,54.830718994,16,1956,-3.0286557907672886
RGI60-10.05085,65.780105591,67.636535645,24,1964,148.46444709288542
RGI60-10.05087,66.000305176,67.578933716,24,1973,220.68304923405944
RGI60-11.00002,13.6135,47.4845,9,1956,-2.1918054867626324
RGI60-11.00012,13.0581,47.4242,10,1931,-3.134655086848852
RGI60-11.00073,12.5956,47.1403,17,1941,-2.182518200776485
RGI60-11.00080,12.5964,47.1316,65,1965,-4.116347445211488
RGI60-11.00106,12.6967,47.0991,29,1973,3.525424451009485
RGI60-11.00190,12.3784,47.0851,9,1992,-20.816632603614607
RGI60-11.00251,12.9472,47.053,16,1989,-10.90838698222342
RGI60-11.00289,12.9702,47.0421,26,1954,1.197552495643663
RGI60-11.00300,13.0049,47.0385,33,1928,-4.730410246636552
RGI60-11.00603,11.2247,46.9656,21,1923,-2.3608691752640425
RGI60-11.00619,11.1528,46.9566,15,1988,-22.704642959273542
RGI60-11.00638,9.38896,46.9603,9,1918,115.31197085243093
RGI60-11.00647,12.0965,46.9069,8,1989,-4.796478665788072
RGI60-11.00719,10.818,46.8762,52,1940,-17.009761287495678
RGI60-11.00781,10.1603,46.8577,27,1929,0.19996956641159613
RGI60-11.00787,10.7907,46.8424,64,1987,6.614776416510267
RGI60-11.00797,10.1054,46.8515,9,1982,-0.9853360638574031
RGI60-11.00804,10.0766,46.8524,98,1965,8.606374087118354
RGI60-11.00807,10.1309,46.8529,9,1917,40.883249145934656
RGI60-11.00843,8.89117,46.8442,101,1962,0.11058320574690583
RGI60-11.00892,8.98871,46.833,42,1929,3.6627653791711623
RGI60-11.00897,10.7584,46.8003,64,1963,-2.728994300334307
RGI60-11.00918,8.97739,46.8133,38,1928,27.658156569391707
RGI60-11.00929,11.0191,46.7817,8,1923,-1.26796428393709
RGI60-11.01238,8.3965,46.6236,17,1980,3.039321550916384
RGI60-11.01450,8.01919,46.5028,60,1929,5.693414051786647
RGI60-11.01662,9.36354,46.5056,6,1946,1.0515186327339734
RGI60-11.01704,10.771,46.4838,30,1978,-5.055252624287618
RGI60-11.01776,10.6115,46.4674,12,1944,7.535576671432636
RGI60-11.01834,10.7085,46.4512,50,1917,210.96747723461385
RGI60-11.01876,8.33019,46.4383,55,1966,-3.1131680260054964
RGI60-11.01930,10.1119,46.4296,6,1964,-11.873028485250188
RGI60-11.01987,8.4812,46.416,24,1990,-10.107969833711195
RGI60-11.02072,7.51198,46.3839,6,1917,166.76761267403617
RGI60-11.02214,10.5127,46.348,14,1927,-64.97355684939919
RGI60-11.02245,9.70108,46.3085,6,1925,484.76352949968975
RGI60-11.02249,7.22536,46.3202,6,1917,448.8191250178402
RGI60-11.02285,9.64185,46.2987,6,1926,386.2035614324742
RGI60-11.02648,9.98941,46.0754,6,1991,9.28054050104538
RGI60-11.02671,7.9245,46.0649,40,1928,1.4143642378530785
RGI60-11.02679,7.9131,46.055,60,1987,3.9445596886476437
RGI60-11.02704,7.90949,46.0336,60,1987,-68.62950947968045
RGI60-11.02746,7.92806,46.0081,60,1955,-3.217252972501342
RGI60-11.02764,7.87661,46.0124,10,2001,-108.85451827993785
RGI60-11.02766,7.29108,45.9647,19,1992,-4.184821927751727
RGI60-11.02773,7.87051,45.9936,11,1997,-16.336002450796627
RGI60-11.02774,7.38888,45.9921,49,1987,-5.092740968309954
RGI60-11.03084,7.27894,45.5592,15,1994,13.796169292965487
RGI60-11.03135,7.38984,45.5181,24,1974,-3.140296066944302
RGI60-11.03166,7.2204,45.4757,13,1991,-10.599114229122051
RGI60-11.03209,0.639342666,42.648979187,25,1986,33.86843668842289
RGI60-11.03232,-0.141221896,42.771190643,14,1964,-5.804318709899462
RGI60-11.03241,13.56671,42.47054,21,1981,-0.28269323636902755
RGI60-11.03246,10.982920789,47.415938932,6,1988,-3.0569648260469933
RGI60-11.03638,6.985,45.951,40,1970,0.18673628204157922
RGI60-11.03643,6.934,45.883,8,1919,-2.1444263546982256
RGI60-11.03671,6.629,45.295,21,1985,-1.8787923502241028
RGI60-11.03674,6.159,45.16,59,1922,80.15034681601276
RGI60-11.03756,6.130521774,45.116443634,68,1922,383.7910602989639
RGI60-12.00161,42.4674,43.3121,31,1964,-0.9643061630641796
RGI60-12.00335,42.7749,43.2009,7,1939,1.949296406510868
RGI60-12.00632,42.7668,43.2143,7,1978,442.75581499495127
RGI60-12.00807,42.4732,43.1296,13,1978,140.34562140165778
RGI60-12.00960,41.4156,43.3638,16,1955,391.9676964552134
RGI60-12.01132,42.7612,43.1944,49,1978,149.9670177757735
RGI60-12.01198,43.0522,43.0776,5,2000,-233.671679208034
RGI60-12.01252,43.084,43.0332,15,1955,329.0322272553132
RGI60-12.01297,41.8439,43.2251,6,1963,-0.10406256861111984
RGI60-12.01302,43.8232,42.7537,11,1930,-1.2703676916710833
RGI60-13.05496,80.238317299,45.095799218,13,1961,1112.7425549739605
RGI60-13.05504,80.228503062,45.082519212,24,1961,546.1792426776072
RGI60-13.06359,78.304753802,42.146142232,45,1917,411.3331782180243
RGI60-13.06828,77.681682984,41.876732163,5,1943,374.5919232432405
RGI60-13.06974,77.749273443,41.786813441,10,1917,396.7843940084937
RGI60-13.08055,78.181348805,41.826979308,7,1917,302.77380728503334
RGI60-13.08531,77.102104419,43.062361311,15,1961,235.85134251298854
RGI60-13.08533,77.07974015,43.024608168,15,1999,-45.990758095567756
RGI60-13.08534,77.107482796,43.075781419,32,1961,243.62859057978596
RGI60-13.08615,77.109750374,43.021278229,15,1961,204.7145936285711
RGI60-13.08624,77.080587306,43.043653004,60,1961,324.98741690665736
RGI60-13.08781,77.064330256,43.057823598,34,1961,403.13921660920823
RGI60-13.08782,77.09641025,43.050292445,34,1961,290.32667608324226
RGI60-13.08783,77.073632056,43.051831778,15,1960,351.20959672087656
RGI60-13.08814,77.051405111,43.071075201,15,1961,395.16283159772263
RGI60-13.11609,74.497660363,42.454479253,31,1957,239.40269300064597
RGI60-13.18096,71.569862366,39.609699249,35,1957,315.64314877605426
RGI60-13.24556,92.135,33.171,22,1917,163.49047228535724
RGI60-13.28839,90.447,30.193,5,1989,206.1012056413059
RGI60-13.32330,97.755,39.237,15,1978,137.06676905870356
RGI60-13.33648,94.184,35.669,12,1917,40.01138523227448
RGI60-13.41896,75.072,38.23,5,1926,-364.8210961508911
RGI60-13.45334,86.801,43.117,28,1917,343.3380534348713
RGI60-13.45335,86.81,43.111,25,1917,440.7881633505094
RGI60-14.07524,76.8939,35.4284,5,1981,323.22312955102154
RGI60-14.12323,78.349378203,31.292291095,13,1920,333.23263669264713
RGI60-14.12365,78.521963702,31.378255834,9,1921,464.5353710778592
RGI60-14.15556,77.314103195,32.305413485,6,1977,1431.7957330510435
RGI60-14.15990,77.507513941,32.224215542,14,1978,415.3727911550307
RGI60-14.19543,75.537165453,34.15943632,9,1981,375.8226049767816
RGI60-15.02942,88.684351605,27.959920148,7,1986,255.26787459353488
RGI60-15.03507,86.556320409,27.715784606,5,1976,572.1088764417551
RGI60-15.03591,86.897669131,27.709259601,8,2000,-49.61322043304426
RGI60-15.03875,86.790688703,27.898420495,6,1974,589.7064952506742
RGI60-15.06557,79.675,30.718,7,1920,252.6597495980194
RGI60-15.06777,79.894082471,30.557780418,6,1922,1034.0869474371882
RGI60-15.07605,78.825119019,30.842954636,6,1922,185.9598069702791
RGI60-15.07886,101.916,29.584,5,1989,337.7677704190114
RGI60-15.09026,81.323,30.455,5,1986,203.68919437357766
RGI60-15.11693,96.975,29.387,10,1917,679.1991889074025
RGI60-15.11962,96.902,29.303,5,1917,1560.3267652863246
RGI60-16.00532,-68.1064,-16.3023,13,1917,752.9414620768981
RGI60-16.00543,-68.1439,-16.274,24,1967,228.24148105305937
RGI60-16.01339,-78.1446,-0.489511,21,1966,-9.192566389723424
RGI60-16.01355,-75.3715,4.80506,10,1917,456.157075449521
RGI60-16.01447,-68.1287,-16.3523,17,1969,1253.6363875436307
RGI60-16.01638,37.314,-0.156806,22,1986,-117.79039507798916
RGI60-16.01756,-76.7207,-10.4787,6,1964,474.225852512285
RGI60-16.02086,-77.2709,-9.65293,21,1917,440.08953316682835
RGI60-16.02444,-77.6279,-8.96265,11,1919,-20.155186713565286
RGI60-17.02128,-68.4093,-54.7862,15,1939,3.869530624651304
RGI60-17.11392,-72.4562,-42.8274,8,1981,214.51408295624742
RGI60-17.13715,-70.1338,-33.5804,41,1930,90.30036165599347
RGI60-17.14203,-70.1481,-32.5933,24,1935,-7.6108440996754325
RGI60-17.14681,-69.6416,-29.9831,8,1930,420.30662978626856
RGI60-17.14682,-69.6442,-29.9757,8,1930,537.0935846283317
RGI60-17.14868,-70.0204,-29.3484,12,1959,-5.142658793647456
RGI60-17.14871,-70.0247,-29.3346,6,1918,85.75153498664099
RGI60-17.14872,-70.0275,-29.3323,6,1930,156.16424726062405
RGI60-17.14874,-70.0369,-29.3295,6,1930,190.050200629232
RGI60-17.14889,-69.9909,-29.3005,8,1930,88.05890492081585
RGI60-18.01130,169.437,-44.0715,11,2001,-2.6011551182414223
RGI60-18.03357,170.926,-43.1326,6,1917,1305.7934030477131
