CenLon,CenLat,POLITICAL_UNIT,NAME,WGMS_ID,PSFG_ID,WGI_ID,GLIMS_ID,RGI50_ID,RGI60_ID,RGI_REG,RGI_REG_NAME,GlacierType,TerminusType,IsTidewater,HAS_PROFILE
-57.3729,-63.8619,AQ,BAHIA DEL DIABLO,2665,,,,RGI50-19.00595,RGI60-19.00595,19,19: Antarctic and Subantarctic,Ice cap,Marine-terminating,True,True
-60.6025,-63.0041,AQ,G1,3925,,,,RGI50-19.02101,RGI60-19.02101,19,19: Antarctic and Subantarctic,Glacier,Land-terminating,False,False
-60.3948,-62.6827,AQ,HURD,3367,,AQ0006C00000,,RGI50-19.02057,RGI60-19.02057,19,19: Antarctic and Subantarctic,Glacier,Marine-terminating,True,False
-60.3547,-62.6707,AQ,JOHNSONS,3366,,AQ0006C00000,,RGI50-19.02059,RGI60-19.02059,19,19: Antarctic and Subantarctic,Glacier,Marine-terminating,True,False
-69.6416,-29.9831,AR,BROWN SUPERIOR,3903,,,,RGI50-17.14923,RGI60-17.14681,17,17: Southern Andes,Glacier,Land-terminating,False,True
-69.6442,-29.9757,AR,CONCONTA NORTE,3902,,,,RGI50-17.14924,RGI60-17.14682,17,17: Southern Andes,Glacier,Land-terminating,False,True
-69.9909,-29.3005,AR,LOS AMARILLOS,3904,,,,RGI50-17.15131,RGI60-17.14889,17,17: Southern Andes,Glacier,Land-terminating,False,True
-68.4093,-54.7862,AR,MARTIAL ESTE,2000,,,,RGI50-17.02128,RGI60-17.02128,17,17: Southern Andes,Glacier,Land-terminating,False,True
-70.1481,-32.5933,AR,PILOTO ESTE,3589,,AR1J11100000,,RGI50-17.14445,RGI60-17.14203,17,17: Southern Andes,Glacier,Land-terminating,False,False
12.5956,47.1403,AT,FILLECK K.,476,AT0601B,ATJ143S0A098,,RGI50-11.00073,RGI60-11.00073,11,11: Central Europe,Glacier,Land-terminating,False,False
12.9702,47.0421,AT,GOLDBERG K.,1305,AT0802B,,,RGI50-11.00289,RGI60-11.00289,11,11: Central Europe,Glacier,Land-terminating,False,True
13.6135,47.4845,AT,HALLSTAETTER G.,535,AT1102,ATJ142T0R002,,RGI50-11.00002,RGI60-11.00002,11,11: Central Europe,Glacier,Land-terminating,False,True
10.7584,46.8003,AT,HINTEREIS F.,491,AT0209,ATJ143O0E125,,RGI50-11.00897,RGI60-11.00897,11,11: Central Europe,Glacier,Land-terminating,False,True
13.0581,47.4242,AT,HOCHKOENIG,3993,,,,RGI50-11.00012,RGI60-11.00012,11,11: Central Europe,Glacier,Land-terminating,False,False
