RGI glaciers with mass-balance measurements in the WGMS Fluctuations of Glaciers database,
Valentina Radic and Rachel Lo, 2015; Fabien Maussion and Johannes Landmann, 2016
RGIId,GLIMSId,Name,Area,CenLon,CenLat,FoGId,PolUnit
RGI60-01.00570,G214573E63281N,Gulkana Glacier                                 ,       17.5667,     -145.4270,       63.2810, 0090,US
RGI60-01.01104,G225651E58380N,Lemon Creek Glacier                             ,        9.5276,     -134.3490,       58.3800, 3334,US
RGI60-01.01390,G225722E58651N,Taku Glacier                                    ,      521.3961,     -134.2780,       58.6510, 0124,US
RGI60-01.02228,G216152E69302N,McCall Glacier                                  ,        6.4335,     -143.8476,       69.3021, 1388,US
RGI60-01.04591,G228938E56955N,Andrei Glacier                                  ,       71.7531,     -131.0620,       56.9550, 0034,CA
RGI60-01.05211,G229316E56975N,Yuri Glacier                                    ,        1.6176,     -130.6840,       56.9750, 0030,CA
RGI60-01.09162,G211092E60412N,Wolverine Glacier                               ,       16.7488,     -148.9080,       60.4120, 0094,US
RGI60-02.00296,G237021E49888N,Sentinel Glacier                                ,        2.0303,     -122.9790,       49.8876, 0044,CA
RGI60-02.00377,G237011E49961N,Helm Glacier                                    ,        0.9746,     -122.9890,       49.9609, 0045,CA
RGI60-02.01104,G237395E50420N,Place Glacier                                   ,        3.0157,     -122.6050,       50.4195, 0041,CA
RGI60-02.02107,G236586E50792N,Zavisha Glacier                                 ,        6.1536,     -123.4140,       50.7918, 0046,CA
RGI60-02.02631,G236379E50872N,Sykora Glacier                                  ,       24.6588,     -123.6210,       50.8720, 0059,CA
RGI60-02.03210,G241939E51114N,Woolsey Glacier                                 ,        2.1281,     -118.0610,       51.1141, 1402,CA
RGI60-02.05098,G243440E51659N,Peyto Glacier                                   ,        9.6986,     -116.5600,       51.6585, 0057,CA
RGI60-02.13700,G254355E40030N,Henderson Glacier CO                            ,        0.0725,     -105.6451,       40.0304, 1355,US
RGI60-02.13701,G254352E40023N,Arapaho Glacier CO                              ,        0.2437,     -105.6478,       40.0233, 1354,US
RGI60-02.13702,G254358E40049N,Arikaree Glacier CO                             ,        0.0525,     -105.6417,       40.0492, 1356,US
RGI60-02.13703,G254343E40060N,Fair Glacier CO                                 ,        0.0970,     -105.6572,       40.0601, 1342,US
RGI60-02.13706,G254353E40055N,Navajo Glacier CO                               ,        0.0343,     -105.6472,       40.0551, 1357,US
RGI60-02.13707,G254355E40063N,Isabelle Glacier CO                             ,        0.1165,     -105.6450,       40.0633, 1358,US
RGI60-02.14017,G236304E47810N,Blue Glacier WA                                 ,        5.6632,     -123.6957,       47.8098, 0210,US
RGI60-02.14297,G238286E46865N,Emmons Glacier WA                               ,       10.5937,     -121.7140,       46.8648, 0203,US
RGI60-02.14336,G238252E46825N,Nisqually Glacier WA                            ,        4.4440,     -121.7477,       46.8248, 0201,US
RGI60-02.14455,G249668E46035N,Grasshopper Glacier MT                          ,        0.0679,     -110.3324,       46.0348, 3921,US
RGI60-02.15500,G240717E37747N,Maclure Glacier CA                              ,        0.2631,     -119.2827,       37.7467, 1353,US
RGI60-02.17023,G246243E48625N,Sperry Glacier MT                               ,        1.2808,     -113.7571,       48.6249, 0218,US
RGI60-02.17307,G238377E48826N,Lower Curtis Glacier WA                         ,        0.5583,     -121.6233,       48.8257, 0077,US
RGI60-02.17369,G238489E48672N,Noisy Creek Glacier                             ,        2.8185,     -121.5109,       48.6722, 1666,US
RGI60-02.17379,G238425E48658N,Watson Glacier WA                               ,        0.2686,     -121.5754,       48.6578, 0089,US
RGI60-02.17612,G238758E48976N,Silver Glacier                                  ,        0.7696,     -121.2419,       48.9761, 1665,US
RGI60-02.17733,G238222E48799N,Rainbow Glacier WA                              ,        2.3652,     -121.7780,       48.7987, 0079,US
RGI60-02.17739,G238170E48750N,Easton Glacier WA                               ,        2.8879,     -121.8300,       48.7496, 1367,US
RGI60-02.17789,G238968E48413N,Spider Glacier WA                               ,        0.5586,     -121.0319,       48.4135, 3941,US
RGI60-02.17806,G238970E48448N,Yawning Glacier                                 ,        0.0239,     -121.0302,       48.4481, 0075,US
RGI60-02.17862,G239203E48411N,Sandalee Glacier WA                             ,        0.2542,     -120.7970,       48.4105, 1667,US
RGI60-02.18005,G239104E48172N,Lyman Glacier WA                                ,        0.4635,     -120.8964,       48.1718, 3340,US
RGI60-02.18077,G238906E48573N,North Klawatti Glacier WA                       ,        1.7576,     -121.0938,       48.5726, 1664,US
RGI60-02.18200,G239203E48512N,Lewis Glacier WA                                ,        0.1720,     -120.7971,       48.5118, 3940,US
RGI60-02.18279,G238865E48525N,Eldorado Glacier WA                             ,        1.1832,     -121.1345,       48.5251, 3939,US
RGI60-02.18346,G238838E47559N,Ice Worm Glacier WA                             ,        0.1921,     -121.1623,       47.5590, 0082,US
RGI60-02.18415,G238652E47962N,Columbia Glacier WA                             ,        0.8027,     -121.3485,       47.9624, 0076,US
RGI60-02.18455,G238479E48018N,Vesper Glacier                                  ,        0.2444,     -121.5208,       48.0179, 3924,US
RGI60-02.18487,G238828E47566N,Daniels Glacier WA                              ,        0.4347,     -121.1722,       47.5664, 0083,US
RGI60-02.18774,G238232E48814N,Sholes Glacier WA                               ,        1.1889,     -121.7682,       48.8138, 3295,US
RGI60-02.18778,G238943E48357N,South Cascade Glacier WA                        ,        2.9241,     -121.0573,       48.3570, 0205,US
RGI60-02.18792,G238319E45381N,Eliot Glacier OR                                ,        1.7192,     -121.6806,       45.3810, 3919,US
RGI60-02.18805,G250362E43173N,Dinwoody Glacier WY                             ,        3.0613,     -109.6383,       43.1732, 3949,US
RGI60-02.18816,G238819E47572N,Lynch Glacier WA                                ,        0.8781,     -121.1805,       47.5722, 0081,US
RGI60-02.18824,G254332E40164N,St Vrain Glacier No 6 CO                        ,        0.1482,     -105.6679,       40.1643, 1340,US
RGI60-02.18825,G254434E40159N,St Vrain Glacier No 5 CO                        ,        0.0980,     -105.6649,       40.1590, 1339,US
RGI60-02.18826,G254347E40155N,St Vrain Glacier No 3 CO                        ,        0.0140,     -105.6532,       40.1551, 1337,US
RGI60-02.18827,G254348E40153N,St Vrain Glacier No 2 CO                        ,        0.0306,     -105.6515,       40.1527, 1336,US
RGI60-02.18828,G254358E40149N,St Vrain Glacier No 1 CO                        ,        0.0130,     -105.6423,       40.1489, 1335,US
RGI60-02.18847,G254316E40288N,Andrews Glacier CO                              ,        0.0692,     -105.6840,       40.2875, 1335,US
RGI60-03.00691,G260810E79982N,Meighen Ice Cap                                 ,       92.9262,      -99.1904,       79.9820, 0016,CA
RGI60-03.00840,G269034E79442N,Baby Glacier                                    ,        0.7189,      -90.9660,       79.4420, 0001,CA
RGI60-03.02435,G276838E75498N,Devon Ice Cap NW                                ,      765.4395,      -83.1620,       75.4978, 0039,CA
RGI60-03.04539,G269123E79515N,White Glacier                                   ,       40.5104,      -90.8770,       79.5146, 0000,CA
RGI60-03.04552,G245035E75429N,Melville South Ice Cap                          ,       53.2644,     -114.9650,       75.4291, 3690,CA
RGI60-04.06187,G286943E70021N,Barnes Ice Cap South Dome N Slope               ,     2771.4121,      -73.0575,       70.0214, 0038,CA
RGI60-04.07329,G296315E58887N,Minaret Glacier                                 ,        0.7275,      -63.6850,       58.8865, 0050,CA
RGI60-04.07380,G296436E58930N,Hidden Glacier                                  ,        0.5815,      -63.5645,       58.9296, 0049,CA
RGI60-04.07381,G296449E58938N,Abraham Glacier                                 ,        0.5035,      -63.5506,       58.9378, 0048,CA
RGI60-04.07387,G296218E58951N,Superguksoak Glacier                            ,        1.2592,      -63.7823,       58.9506, 0051,CA
RGI60-05.11186,G322197E65696N,Mittivakkat Glacier                             ,       20.1540,      -37.8032,       65.6957, 1629,GL
RGI60-06.00203,G341628E65585N,Baegisarjoekull                                 ,        1.8494,      -18.3719,       65.5847, 3059,IS
RGI60-06.00234,G341358E64799N,Thjorsarjoekull (Hofsjoekull E)                 ,      264.5361,      -18.6422,       64.7989, 3088,IS
RGI60-06.00236,G340976E64757N,Blagnipujoekull (Hofsjoekull SW)                ,       68.1097,      -19.0241,       64.7570, 3090,IS
RGI60-06.00309,G339758E64571N,Hagafellsjoekull East (Langjoekull S Dome)      ,      131.1733,      -20.2417,       64.5711, 3101,IS
RGI60-06.00310,G339969E64642N,Langjoekull Ice Cap                             ,      157.0454,      -20.0311,       64.6423, 3660,IS
RGI60-06.00377,G343733E64587N,Bruarjoekull                                    ,     1428.7241,      -16.2675,       64.5867, 3067,IS
RGI60-06.00424,G342283E64563N,Koeldukvislarjoekull                            ,      319.4629,      -17.7174,       64.5628, 3096,IS
RGI60-06.00443,G342073E64348N,Tungnaarjoekull                                 ,      271.0690,      -17.9270,       64.3475, 3126,IS
RGI60-06.00472,G344392E64628N,Eyjabakkajoekull                                ,      129.6392,      -15.6083,       64.6284, 3069,IS
RGI60-06.00477,G342946E64674N,Dyngjujoekull                                   ,     1060.6392,      -17.0539,       64.6745, 3068,IS
RGI60-07.00231,G015238E77461N,Finsterwalderbreen                              ,       34.0402,       15.2378,       77.4610, 3486,SJ
RGI60-07.00240,G015580E77075N,Hansbreen                                       ,       64.2110,       15.5799,       77.0748, 0306,SJ
RGI60-07.00490,G012125E78665N,Irenebreen                                      ,        3.5857,       12.1249,       78.6651, 2669,SJ
RGI60-07.00492,G012069E78677N,Waldemarbreen                                   ,        2.8687,       12.0692,       78.6774, 2307,SJ
RGI60-07.00493,G012031E78878N,Midtre Lovenbreen                               ,        5.2052,       12.0311,       78.8779, 0291,SJ
RGI60-07.00504,G011831E78888N,Austre Broeggerbreen                            ,        9.8112,       11.8309,       78.8876, 0292,SJ
RGI60-07.00513,G012253E78650N,Elisebreen                                      ,       12.5754,       12.2530,       78.6499, 3337,SJ
RGI60-07.00593,G016258E78698N,Bertilbreen                                     ,        3.8196,       16.2580,       78.6982, 3755,SJ
RGI60-07.01060,G013954E78041N,Voeringbreen                                    ,        1.1372,       13.9535,       78.0409, 3912,SJ
RGI60-07.01100,G014408E77836N,Fridtjovbreen                                   ,       50.4080,       14.4077,       77.8358, 3494,SJ
RGI60-07.01132,G015627E78128N,Bogerbreen                                      ,        3.4631,       15.6267,       78.1281, 3914,SJ
RGI60-07.01464,G013385E78992N,Kronebreen                                      ,      295.5087,       13.3845,       78.9916, 3504,SJ
RGI60-07.01481,G013148E78787N,Kongsvegen                                      ,      108.2969,       13.1481,       78.7872, 1456,SJ
RGI60-07.01492,G012258E79129N,Fjortende Julibreen                             ,       76.3335,       12.2577,       79.1294, 3948,SJ
