CenLon,CenLat,POLITICAL_UNIT,NAME,WGMS_ID,PSFG_ID,WGI_ID,GLIMS_ID,RGI40_ID,RGI50_ID,RGI_REG,RGI_REG_NAME,GlacierType,TerminusType,IsTidewater,N_MB_YRS,HAS_PROFILE,REMARKS
-57.3729,-63.8619,AQ,BAHIA DEL DIABLO,2665,,,,RGI40-19.00595,RGI50-19.00595,19,19: Antarctic and Subantarctic,Ice cap,Marine-terminating,True,15,True,RGI link checked manually.
-60.6025,-63.0041,AQ,G1,3925,,,,RGI40-19.02101,RGI50-19.02101,19,19: Antarctic and Subantarctic,Glacier,Land-terminating,False,6,False,RGI link checked manually.
-60.3948,-62.6827,AQ,HURD,3367,,AQ0006C00000,,RGI40-19.02057,RGI50-19.02057,19,19: Antarctic and Subantarctic,Glacier,Marine-terminating,True,12,False,RGI link checked manually.
-60.3547,-62.6707,AQ,JOHNSONS,3366,,AQ0006C00000,,RGI40-19.02059,RGI50-19.02059,19,19: Antarctic and Subantarctic,Glacier,Marine-terminating,True,12,False,RGI link checked manually.
-69.6416,-29.9831,AR,BROWN SUPERIOR,3903,,,,RGI40-17.14923,RGI50-17.14923,17,17: Southern Andes,Glacier,Land-terminating,False,8,True,RGI link checked manually.
-69.6442,-29.9757,AR,CONCONTA NORTE,3902,,,,RGI40-17.14924,RGI50-17.14924,17,17: Southern Andes,Glacier,Land-terminating,False,8,True,RGI link checked manually.
-69.9909,-29.3005,AR,LOS AMARILLOS,3904,,,,RGI40-17.15131,RGI50-17.15131,17,17: Southern Andes,Glacier,Land-terminating,False,8,True,RGI link checked manually.
-68.4093,-54.7862,AR,MARTIAL ESTE,2000,,,,RGI40-17.02128,RGI50-17.02128,17,17: Southern Andes,Glacier,Land-terminating,False,14,True,RGI link checked manually.
-70.1481,-32.5933,AR,PILOTO ESTE,3589,,AR1J11100000,,RGI40-17.14445,RGI50-17.14445,17,17: Southern Andes,Glacier,Land-terminating,False,24,False,RGI link checked manually.
12.5956,47.1403,AT,FILLECK K.,476,AT0601B,ATJ143S0A098,,RGI40-11.00073,RGI50-11.00073,11,11: Central Europe,Glacier,Land-terminating,False,17,False,RGI link checked manually.
12.9702,47.0421,AT,GOLDBERG K.,1305,AT0802B,,,RGI40-11.00289,RGI50-11.00289,11,11: Central Europe,Glacier,Land-terminating,False,26,True,RGI link checked manually.
13.6135,47.4845,AT,HALLSTAETTER G.,535,AT1102,ATJ142T0R002,,RGI40-11.00002,RGI50-11.00002,11,11: Central Europe,Glacier,Land-terminating,False,8,True,RGI link checked manually.
10.7584,46.8003,AT,HINTEREIS F.,491,AT0209,ATJ143O0E125,,RGI40-11.00897,RGI50-11.00897,11,11: Central Europe,Glacier,Land-terminating,False,63,True,RGI link checked manually.
13.0581,47.4242,AT,HOCHKOENIG,3993,,,,RGI40-11.00012,RGI50-11.00012,11,11: Central Europe,Glacier,Land-terminating,False,10,False,RGI link checked manually.
10.1603,46.8577,AT,JAMTAL F.,480,AT0106,ATJ143S0N019,,RGI40-11.00781,RGI50-11.00781,11,11: Central Europe,Glacier,Land-terminating,False,26,True,RGI link checked manually.
10.7907,46.8424,AT,KESSELWAND F.,507,AT0226,ATJ143O0E129,,RGI40-11.00787,RGI50-11.00787,11,11: Central Europe,Glacier,Land-terminating,False,59,True,RGI link checked manually.
12.9472,47.053000000000004,AT,KLEINFLEISS K.,547,AT0801,ATJ131M0O036,,RGI40-11.00251,RGI50-11.00251,11,11: Central Europe,Glacier,Land-terminating,False,16,True,RGI link checked manually.
11.0191,46.7817,AT,LANGTALER F.,510,AT0223,ATJ143O0E072,,RGI40-11.00929,RGI50-11.00929,11,11: Central Europe,Glacier,Land-terminating,False,8,True,RGI link checked manually.
10.1054,46.8515,AT,OCHSENTALER G.,483,AT0103,ATR013I0L008,,RGI40-11.00797,RGI50-11.00797,11,11: Central Europe,Glacier,Land-terminating,False,9,True,RGI link checked manually.
12.6967,47.0991,AT,PASTERZE,566,AT0704,ATJ131M0O027,,RGI40-11.00106,RGI50-11.00106,11,11: Central Europe,Glacier,Land-terminating,False,28,True,RGI link checked manually.
12.5964,47.1316,AT,STUBACHER SONNBLICK K.,573,AT0601A,ATJ143S0A097,,RGI40-11.00080,RGI50-11.00080,11,11: Central Europe,Glacier,Land-terminating,False,70,True,RGI link checked manually.
10.1309,46.8529,AT,VERMUNT G.,482,AT0104,ATR013I0L007,,RGI40-11.00807,RGI50-11.00807,11,11: Central Europe,Glacier,Land-terminating,False,9,True,RGI link checked manually.
10.818,46.8762,AT,VERNAGT F.,489,AT0211,ATJ143O0E133,,RGI40-11.00719,RGI50-11.00719,11,11: Central Europe,Glacier,Land-terminating,False,51,True,RGI link checked manually.
13.0049,47.0385,AT,WURTEN K.,545,AT0804,ATJ131M0O038,,RGI40-11.00300,RGI50-11.00300,11,11: Central Europe,Glacier,Land-terminating,False,31,True,RGI link checked manually.
12.3784,47.0851,AT,ZETTALUNITZ/MULLWITZ K.,578,AT0508,ATJ131I0S054,,RGI40-11.00190,RGI50-11.00190,11,11: Central Europe,Glacier,Land-terminating,False,8,True,RGI link checked manually.
-68.1287,-16.3523,BO,CHACALTAYA,1505,BO5180,BO00XXX00002,,RGI40-16.01447,RGI50-16.01447,16,16: Low Latitudes,Glacier,Land-terminating,False,17,True,RGI link checked manually.
-68.1064,-16.3023,BO,CHARQUINI SUR,2667,,,,RGI40-16.00532,RGI50-16.00532,16,16: Low Latitudes,Glacier,Land-terminating,False,11,True,RGI link checked manually.
-68.1439,-16.274,BO,ZONGO,1503,BO5150,BO00XXX00001,,RGI40-16.00543,RGI50-16.00543,16,16: Low Latitudes,Glacier,Land-terminating,False,22,True,RGI link checked manually.
-130.83,57.091,CA,ALEXANDER,32,CA0133,CA0N00200001,,RGI40-01.05355,RGI50-01.05355,01,01: Alaska,Glacier,Land-terminating,False,9,True,RGI link checked manually.
-131.062,56.955,CA,ANDREI,34,CA0148,CA0N00200002,,RGI40-01.04591,RGI50-01.04591,01,01: Alaska,Glacier,Land-terminating,False,10,True,RGI link checked manually.
-90.9688,79.4405,CA,BABY,1,CA0205,CAR014E00009,,RGI40-03.00840,RGI50-03.00840,03,03: Arctic Canada North,Glacier,Land-terminating,False,34,False,RGI link checked manually.
-73.0575,70.0214,CA,BARNES ICE CAP SOUTH DOME N SLOPE,38,CA0210A,CA0000T00210,,RGI40-04.06187,RGI50-04.06187,04,04: Arctic Canada South,Ice cap,Land-terminating,False,13,False,RGI link checked manually.
-124.911,51.4455,CA,BENCH,66,CA0234,CA0 XXX00013,,RGI40-02.05986,RGI50-02.05986,02,02: Western Canada and US,Glacier,Land-terminating,False,8,True,RGI link checked manually.
-123.639,50.8216,CA,BRIDGE,47,CA0275,CA0M20000001,,RGI40-02.04119,RGI50-02.04119,02,02: Western Canada and US,Glacier,Land-terminating,False,5,True,RGI link checked manually.
-69.8037,69.6303,CA,DECADE,3909,,,,RGI40-04.03082,RGI50-04.03082,04,04: Arctic Canada South,Glacier,Land-terminating,False,5,False,RGI link checked manually.
-83.162,75.4978,CA,DEVON ICE CAP NW,39,CA0431,CA000S200001,,RGI40-03.02435,RGI50-03.02435,03,03: Arctic Canada North,Ice cap,Marine-terminating,True,53,True,RGI link checked manually.
-122.98899999999999,49.9609,CA,HELM,45,CA0855,CAM000C00002,,RGI40-02.01860,RGI50-02.01860,02,02: Western Canada and US,Glacier,Land-terminating,False,39,True,RGI link checked manually.
-79.1438,75.8872,CA,LAIKA,1412,CA0720,,,RGI40-03.01427,RGI50-03.01427,03,03: Arctic Canada North,Glacier,Land-terminating,False,6,True,RGI link checked manually.
-99.1904,79.982,CA,MEIGHEN ICE CAP,16,CA1335,CA002R900001,,RGI40-03.00691,RGI50-03.00691,03,03: Arctic Canada North,Glacier,Land-terminating,False,54,True,RGI link checked manually.
-114.965,75.4291,CA,MELVILLE SOUTH ICE CAP,3690,,,,RGI40-02.13974,RGI50-02.13974,02,02: Western Canada and US,Glacier,Land-terminating,False,51,True,RGI link checked manually.
-116.56,51.6585,CA,PEYTO,57,CA1640,CA0M12200002,,RGI40-02.06581,RGI50-02.06581,02,02: Western Canada and US,Glacier,Land-terminating,False,49,True,RGI link checked manually.
-122.605,50.4195,CA,PLACE,41,CA1660,CA0M20000002,,RGI40-02.02587,RGI50-02.02587,02,02: Western Canada and US,Glacier,Land-terminating,False,50,True,RGI link checked manually.
-116.486,51.818999999999996,CA,RAM RIVER,1394,CA1815,,,RGI40-02.07173,RGI50-02.07173,02,02: Western Canada and US,Glacier,Land-terminating,False,10,True,RGI link checked manually.
