,CPP filename,Lat,Long
0,DEM1_SAR_DGE_90_20110114T015608_20140826T015721_ADS_000000_2587.DEM.tar,N53,W123
1,DEM1_SAR_DGE_90_20101213T211128_20140221T211157_ADS_000000_4187.DEM.tar,S04,E127
2,DEM1_SAR_DGE_90_20130510T232624_20140705T002756_ADS_000000_7655.DEM.tar,S88,W041
3,DEM1_SAR_DGE_90_20110119T034104_20140820T034357_ADS_000000_9923.DEM.tar,N66,W154
4,DEM1_SAR_DGE_90_20110423T174613_20121115T174640_ADS_000000_0670.DEM.tar,N60,W002
5,DEM1_SAR_DGE_90_20110522T233438_20130127T233519_ADS_000000_8091.DEM.tar,N40,W086
6,DEM1_SAR_DGE_90_20130505T024524_20140606T023045_ADS_000000_7420.DEM.tar,S80,W109
7,DEM1_SAR_DGE_90_20130511T041057_20140705T002756_ADS_000000_9316.DEM.tar,S88,W061
8,DEM1_SAR_DGE_90_20110719T131125_20140916T131435_ADS_000000_2316.DEM.tar,N32,E071
9,DEM1_SAR_DGE_90_20101229T094618_20130402T094715_ADS_000000_4339.DEM.tar,N71,E113
10,DEM1_SAR_DGE_90_20101224T154119_20140120T032624_ADS_000000_5250.DEM.tar,N15,E037
11,DEM1_SAR_DGE_90_20101219T210243_20131022T093551_ADS_000000_4027.DEM.tar,S04,E129
12,DEM1_SAR_DGE_90_20130510T060303_20140524T030242_ADS_000000_2404.DEM.tar,S88,W139
13,DEM1_SAR_DGE_90_20110102T095451_20140302T095517_ADS_000000_7484.DEM.tar,N06,E125
14,DEM1_SAR_DGE_90_20101216T181630_20140112T083739_ADS_000000_1131.DEM.tar,N77,W022
15,DEM1_SAR_DGE_90_20140519T073759_20140524T012752_ADS_000000_9436.DEM.tar,S90,W108
16,DEM1_SAR_DGE_90_20110109T014913_20140821T015043_ADS_000000_4704.DEM.tar,N63,W124
17,DEM1_SAR_DGE_90_20130510T122227_20140522T095635_ADS_000000_4332.DEM.tar,S88,E117
18,DEM1_SAR_DGE_90_20130601T214541_20140725T213222_ADS_000000_5291.DEM.tar,S73,E086
19,DEM1_SAR_DGE_90_20130430T182451_20140908T181040_ADS_000000_4883.DEM.tar,S85,E044
20,DEM1_SAR_DGE_90_20130601T170236_20140831T171424_ADS_000000_5582.DEM.tar,S77,E139
21,DEM1_SAR_DGE_90_20110116T231513_20140914T230832_ADS_000000_8581.DEM.tar,N03,W075
22,DEM1_SAR_DGE_90_20110214T132756_20140212T013031_ADS_000000_6308.DEM.tar,N31,E068
23,DEM1_SAR_DGE_90_20110127T232627_20130529T232016_ADS_000000_5010.DEM.tar,N50,W085
24,DEM1_SAR_DGE_90_20101219T082356_20140223T211852_ADS_000000_2355.DEM.tar,S18,W044
25,DEM1_SAR_DGE_90_20101221T230658_20131223T124840_ADS_000000_4814.DEM.tar,N72,W089
26,DEM1_SAR_DGE_90_20110217T093036_20130711T092352_ADS_000000_2990.DEM.tar,N50,E125
27,DEM1_SAR_DGE_90_20101220T204758_20121117T205853_ADS_000000_9523.DEM.tar,S20,E129
28,DEM1_SAR_DGE_90_20110115T110757_20120906T110249_ADS_000000_1802.DEM.tar,N57,E098
29,DEM1_SAR_DGE_90_20130608T040030_20140721T003704_ADS_000000_9387.DEM.tar,S78,W037
30,DEM1_SAR_DGE_90_20101229T212407_20121013T213536_ADS_000000_3535.DEM.tar,S21,E120
31,DEM1_SAR_DGE_90_20110116T231513_20140122T104939_ADS_000000_9574.DEM.tar,N01,W075
32,DEM1_SAR_DGE_90_20110310T190740_20130327T191114_ADS_000000_2281.DEM.tar,N09,W015
33,DEM1_SAR_DGE_90_20101222T211838_20140223T122048_ADS_000000_9059.DEM.tar,N80,W070
34,DEM1_SAR_DGE_90_20110214T005457_20120812T004938_ADS_000000_5340.DEM.tar,N57,W108
35,DEM1_SAR_DGE_90_20110519T180256_20140208T175619_ADS_000000_8540.DEM.tar,N31,W002
36,DEM1_SAR_DGE_90_20101217T100218_20121115T095632_ADS_000000_7767.DEM.tar,N73,E106
37,DEM1_SAR_DGE_90_20101214T154134_20140412T155035_ADS_000000_3533.DEM.tar,N76,E016
38,DEM1_SAR_DGE_90_20110101T150943_20121113T151132_ADS_000000_1043.DEM.tar,N57,E038
39,DEM1_SAR_DGE_90_20101214T202308_20130502T200706_ADS_000000_8610.DEM.tar,N68,W044
40,DEM1_SAR_DGE_90_20130510T232624_20140521T180805_ADS_000000_6902.DEM.tar,S88,W003
41,DEM1_SAR_DGE_90_20110505T013206_20121127T013336_ADS_000000_0053.DEM.tar,N31,W114
42,DEM1_SAR_DGE_90_20130430T054604_20140610T060452_ADS_000000_5923.DEM.tar,S85,W127
43,DEM1_SAR_DGE_90_20130510T091245_20140522T064654_ADS_000000_6169.DEM.tar,S88,E164
44,DEM1_SAR_DGE_90_20130429T122242_20140612T132439_ADS_000000_0025.DEM.tar,S87,E156
45,DEM1_SAR_DGE_90_20110130T020534_20130423T020921_ADS_000000_1836.DEM.tar,N69,W131
46,DEM1_SAR_DGE_90_20110210T002905_20130601T002423_ADS_000000_6898.DEM.tar,N56,W101
47,DEM1_SAR_DGE_90_20101212T192324_20131221T083921_ADS_000000_8111.DEM.tar,N70,W031
48,DEM1_SAR_DGE_90_20130429T073809_20140623T101509_ADS_000000_2296.DEM.tar,S86,W157
49,DEM1_SAR_DGE_90_20101212T212844_20130826T101021_ADS_000000_2935.DEM.tar,S06,E122
50,DEM1_SAR_DGE_90_20110105T074233_20120703T073805_ADS_000000_8919.DEM.tar,N73,E142
51,DEM1_SAR_DGE_90_20110314T070633_20140203T194651_ADS_000000_3457.DEM.tar,N57,E158
52,DEM1_SAR_DGE_90_20130506T181657_20140817T004318_ADS_000000_4511.DEM.tar,S79,E013
53,DEM1_SAR_DGE_90_20110109T084537_20130601T085523_ADS_000000_0915.DEM.tar,S20,W050
54,DEM1_SAR_DGE_90_20130606T232951_20140815T153738_ADS_000000_3292.DEM.tar,S70,E067
55,DEM1_SAR_DGE_90_20130504T233541_20140814T075408_ADS_000000_1562.DEM.tar,S82,W058
56,DEM1_SAR_DGE_90_20110113T104105_20140324T104444_ADS_000000_7601.DEM.tar,S09,W076
57,DEM1_SAR_DGE_90_20110511T012302_20140822T012710_ADS_000000_7747.DEM.tar,N37,W112
