CPP filename,Lat,Long
DEM1_SAR_DGE_90_20110124T104104_20131112T104454_ADS_000000_5383.DEM.tar,S06,W075
DEM1_SAR_DGE_90_20110328T140559_20121209T140049_ADS_000000_6453.DEM.tar,N47,E056
DEM1_SAR_DGE_90_20101216T181630_20140117T084551_ADS_000000_1167.DEM.tar,N77,W023
DEM1_SAR_DGE_90_20110331T161807_20140313T041518_ADS_000000_2376.DEM.tar,N29,E026
DEM1_SAR_DGE_90_20110205T084911_20140327T213717_ADS_000000_5916.DEM.tar,S14,W049
DEM1_SAR_DGE_90_20101212T112832_20140314T003646_ADS_000000_5017.DEM.tar,N69,E089
DEM1_SAR_DGE_90_20110103T173513_20140215T172855_ADS_000000_7500.DEM.tar,N25,E007
DEM1_SAR_DGE_90_20110114T190737_20130407T191119_ADS_000000_3883.DEM.tar,N22,W017
DEM1_SAR_DGE_90_20101221T105824_20140223T110901_ADS_000000_0063.DEM.tar,S07,W081
DEM1_SAR_DGE_90_20130502T144041_20140613T144241_ADS_000000_8982.DEM.tar,S83,E082
DEM1_SAR_DGE_90_20130502T082117_20140612T084131_ADS_000000_8075.DEM.tar,S87,W147
DEM1_SAR_DGE_90_20101213T100640_20130716T100951_ADS_000000_2375.DEM.tar,S10,W068
DEM1_SAR_DGE_90_20101219T152938_20140207T030321_ADS_000000_8269.DEM.tar,N04,E041
DEM1_SAR_DGE_90_20110208T005750_20130129T005032_ADS_000000_1573.DEM.tar,N33,W104
DEM1_SAR_DGE_90_20101212T212844_20140312T100955_ADS_000000_4043.DEM.tar,S04,E122
DEM1_SAR_DGE_90_20130602T040637_20140802T222926_ADS_000000_6799.DEM.tar,S76,W020
DEM1_SAR_DGE_90_20110828T084518_20140309T215900_ADS_000000_6695.DEM.tar,S30,W050
DEM1_SAR_DGE_90_20101218T001557_20121208T000943_ADS_000000_1401.DEM.tar,N73,W106
DEM1_SAR_DGE_90_20130507T145001_20140816T213303_ADS_000000_3879.DEM.tar,S78,E063
DEM1_SAR_DGE_90_20120409T144150_20120501T144200_ADS_000000_5451.DEM.tar,N78,E031
DEM1_SAR_DGE_90_20110127T104740_20121101T104128_ADS_000000_5379.DEM.tar,N43,E106
DEM1_SAR_DGE_90_20110108T200629_20121206T201834_ADS_000000_8924.DEM.tar,S31,E138
DEM1_SAR_DGE_90_20130522T041103_20140524T012752_ADS_000000_9688.DEM.tar,S90,W115
DEM1_SAR_DGE_90_20110526T015238_20140917T015558_ADS_000000_2293.DEM.tar,N47,W122
DEM1_SAR_DGE_90_20110109T094723_20121219T094019_ADS_000000_1030.DEM.tar,N79,E102
DEM1_SAR_DGE_90_20101213T145618_20120330T145628_ADS_000000_1831.DEM.tar,S20,W142
DEM1_SAR_DGE_90_20101226T200825_20140406T112003_ADS_000000_3271.DEM.tar,N81,W059
DEM1_SAR_DGE_90_20110711T175708_20131027T075646_ADS_000000_2879.DEM.tar,S51,E166
DEM1_SAR_DGE_90_20110305T172903_20140331T052317_ADS_000000_1728.DEM.tar,N29,E008
DEM1_SAR_DGE_90_20110105T121701_20140828T122012_ADS_000000_6920.DEM.tar,N31,E085
DEM1_SAR_DGE_90_20110120T001042_20121230T000416_ADS_000000_5410.DEM.tar,N50,W096
DEM1_SAR_DGE_90_20101218T154653_20141011T032758_ADS_000000_4513.DEM.tar,N10,E035
DEM1_SAR_DGE_90_20130429T042828_20140623T035533_ADS_000000_9554.DEM.tar,S86,W093
DEM1_SAR_DGE_90_20110513T181434_20131218T062936_ADS_000000_9214.DEM.tar,N39,W005
DEM1_SAR_DGE_90_20110319T115231_20140915T115420_ADS_000000_4059.DEM.tar,N28,E092
DEM1_SAR_DGE_90_20101216T150742_20120419T145945_ADS_000000_0021.DEM.tar,N79,E022
DEM1_SAR_DGE_90_20110128T041519_20140829T041705_ADS_000000_6073.DEM.tar,N63,W162
DEM1_SAR_DGE_90_20110709T221931_20121002T222008_ADS_000000_1632.DEM.tar,N18,W064
DEM1_SAR_DGE_90_20110308T115415_20130124T114822_ADS_000000_1055.DEM.tar,N41,E090
DEM1_SAR_DGE_90_20110209T092250_20121102T093441_ADS_000000_7339.DEM.tar,S42,W065
DEM1_SAR_DGE_90_20110213T094537_20140407T095721_ADS_000000_1225.DEM.tar,S29,W067
DEM1_SAR_DGE_90_20110312T011627_20140908T011840_ADS_000000_7263.DEM.tar,N39,W111
DEM1_SAR_DGE_90_20110427T025810_20121130T030018_ADS_000000_8201.DEM.tar,S12,E040
DEM1_SAR_DGE_90_20101218T084045_20130424T084340_ADS_000000_8839.DEM.tar,S07,W047
DEM1_SAR_DGE_90_20130602T085056_20140731T005735_ADS_000000_7219.DEM.tar,S70,W073
DEM1_SAR_DGE_90_20110105T210045_20130403T211102_ADS_000000_3903.DEM.tar,S33,E124
DEM1_SAR_DGE_90_20110305T221926_20130801T221955_ADS_000000_6298.DEM.tar,N49,W068
DEM1_SAR_DGE_90_20110213T165215_20140116T163737_ADS_000000_1372.DEM.tar,N24,E018
DEM1_SAR_DGE_90_20130603T224648_20140720T164434_ADS_000000_2507.DEM.tar,S75,E062
DEM1_SAR_DGE_90_20130502T223456_20140727T020335_ADS_000000_2362.DEM.tar,S79,W051
DEM1_SAR_DGE_90_20110724T224544_20140302T103642_ADS_000000_1889.DEM.tar,N18,W071
DEM1_SAR_DGE_90_20110216T174143_20120921T174354_ADS_000000_2475.DEM.tar,N48,E001
DEM1_SAR_DGE_90_20110112T092825_20121118T094105_ADS_000000_9935.DEM.tar,S31,W063
DEM1_SAR_DGE_90_20101215T134746_20140312T133931_ADS_000000_3575.DEM.tar,N70,E052
DEM1_SAR_DGE_90_20110416T145255_20140208T144636_ADS_000000_3095.DEM.tar,N29,E046
DEM1_SAR_DGE_90_20110423T190750_20140331T190236_ADS_000000_8053.DEM.tar,N21,W017
DEM1_SAR_DGE_90_20110201T210947_20130619T211127_ADS_000000_3831.DEM.tar,S33,E122
DEM1_SAR_DGE_90_20110213T165903_20130803T170052_ADS_000000_8329.DEM.tar,N50,E013
DEM1_SAR_DGE_90_20110406T200803_20121109T201052_ADS_000000_3975.DEM.tar,S26,E140
DEM1_SAR_DGE_90_20110206T110454_20140907T110641_ADS_000000_8073.DEM.tar,N47,E101
DEM1_SAR_DGE_90_20110123T133431_20130411T132850_ADS_000000_6356.DEM.tar,N61,E061
DEM1_SAR_DGE_90_20130604T222857_20140808T221553_ADS_000000_2759.DEM.tar,S75,E069
DEM1_SAR_DGE_90_20130514T094036_20140908T163142_ADS_000000_6795.DEM.tar,S78,E144
DEM1_SAR_DGE_90_20101222T201435_20121006T202716_ADS_000000_0431.DEM.tar,S25,E137
DEM1_SAR_DGE_90_20110114T081715_20140215T210337_ADS_000000_9336.DEM.tar,N60,E138
DEM1_SAR_DGE_90_20140503T214358_20140720T005413_ADS_000000_1858.DEM.tar,S79,W037
DEM1_SAR_DGE_90_20101225T170840_20130404T170243_ADS_000000_4647.DEM.tar,N53,E009
