CPP filename,Lat,Long
DEM1_SAR_DGE_30_20101222T095335_20130930T212803_ADS_000000_DCk2.DEM.tar,N01,E125
DEM1_SAR_DGE_30_20110204T100433_20140916T100504_ADS_000000_nRsW.DEM.tar,N42,E117
DEM1_SAR_DGE_30_20130606T201953_20140826T201300_ADS_000000_gDWI.DEM.tar,S71,E111
DEM1_SAR_DGE_30_20110126T154536_20131229T152955_ADS_000000_XyQe.DEM.tar,N31,E034
DEM1_SAR_DGE_30_20101215T121539_20120418T120737_ADS_000000_Ejhm.DEM.tar,N81,E061
DEM1_SAR_DGE_30_20140503T073019_20140725T133910_ADS_000000_L5cI.DEM.tar,S79,E175
DEM1_SAR_DGE_30_20110517T094919_20130518T094413_ADS_000000_LY85.DEM.tar,S11,W063
DEM1_SAR_DGE_30_20101230T193231_20140105T083040_ADS_000000_H0v5.DEM.tar,S23,E148
DEM1_SAR_DGE_30_20130430T213434_20140622T231225_ADS_000000_bheb.DEM.tar,S86,E010
DEM1_SAR_DGE_30_20130429T042828_20140610T043126_ADS_000000_rsFr.DEM.tar,S83,W125
DEM1_SAR_DGE_30_20110429T150205_20130124T034032_ADS_000000_Eowk.DEM.tar,S10,W141
DEM1_SAR_DGE_30_20110110T122509_20130425T122721_ADS_000000_zvLZ.DEM.tar,N24,E084
DEM1_SAR_DGE_30_20130506T005336_20140810T103619_ADS_000000_Y0pf.DEM.tar,S78,W088
DEM1_SAR_DGE_30_20110415T164917_20130707T164950_ADS_000000_Xysr.DEM.tar,N40,E017
DEM1_SAR_DGE_30_20101227T101447_20130714T100700_ADS_000000_6ZtS.DEM.tar,N49,E113
DEM1_SAR_DGE_30_20110308T115415_20141102T000955_ADS_000000_YIft.DEM.tar,N41,E089
DEM1_SAR_DGE_30_20110209T180237_20140213T055748_ADS_000000_d9wH.DEM.tar,N29,E000
DEM1_SAR_DGE_30_20110115T184907_20130408T185154_ADS_000000_bjbg.DEM.tar,N13,W010
DEM1_SAR_DGE_30_20110421T115848_20140915T120105_ADS_000000_MuBM.DEM.tar,N54,E085
DEM1_SAR_DGE_30_20130608T084201_20140804T012251_ADS_000000_eOsU.DEM.tar,S72,W075
DEM1_SAR_DGE_30_20110124T021320_20140916T021520_ADS_000000_lQPc.DEM.tar,N57,W128
DEM1_SAR_DGE_30_20110313T085547_20130427T085225_ADS_000000_xhxf.DEM.tar,N59,E130
DEM1_SAR_DGE_30_20101224T155413_20120820T155536_ADS_000000_T1ns.DEM.tar,N64,E023
DEM1_SAR_DGE_30_20101221T213450_20140302T132932_ADS_000000_HVVT.DEM.tar,N82,W081
DEM1_SAR_DGE_30_20130613T102630_20140728T032314_ADS_000000_xsgg.DEM.tar,S72,W104
DEM1_SAR_DGE_30_20110115T184907_20130408T185154_ADS_000000_jXDg.DEM.tar,N11,W010
DEM1_SAR_DGE_30_20110529T115957_20121221T120126_ADS_000000_J8JN.DEM.tar,N22,E090
DEM1_SAR_DGE_30_20101212T155531_20141004T154829_ADS_000000_eaSE.DEM.tar,N00,E035
DEM1_SAR_DGE_30_20110816T095228_20130401T095337_ADS_000000_wIOZ.DEM.tar,N31,E121
DEM1_SAR_DGE_30_20130510T060303_20140524T030242_ADS_000000_iXHv.DEM.tar,S88,W135
DEM1_SAR_DGE_30_20101213T211128_20140221T211157_ADS_000000_1mm9.DEM.tar,S04,E127
DEM1_SAR_DGE_30_20110408T171540_20130501T171033_ADS_000000_t1G8.DEM.tar,N53,E007
DEM1_SAR_DGE_30_20110109T040045_20130424T040337_ADS_000000_yCh5.DEM.tar,S29,E020
DEM1_SAR_DGE_30_20101213T145555_20121019T150438_ADS_000000_0hFj.DEM.tar,S18,W142
DEM1_SAR_DGE_30_20130503T031930_20140623T035533_ADS_000000_DyfZ.DEM.tar,S84,W105
DEM1_SAR_DGE_30_20130429T073809_20140610T074108_ADS_000000_oOEf.DEM.tar,S84,W171
DEM1_SAR_DGE_30_20101213T034716_20130408T035028_ADS_000000_8GeN.DEM.tar,S09,E027
DEM1_SAR_DGE_30_20101226T031245_20140220T155346_ADS_000000_fxqA.DEM.tar,S09,E036
DEM1_SAR_DGE_30_20110121T123215_20131011T004241_ADS_000000_OBE7.DEM.tar,N47,E080
DEM1_SAR_DGE_30_20130608T084039_20140813T002351_ADS_000000_Q8jp.DEM.tar,S67,W068
DEM1_SAR_DGE_30_20110127T095700_20140908T095849_ADS_000000_N0YY.DEM.tar,S32,W069
DEM1_SAR_DGE_30_20130601T214541_20140816T213303_ADS_000000_AkcE.DEM.tar,S77,E071
DEM1_SAR_DGE_30_20101212T112832_20131027T004512_ADS_000000_94mH.DEM.tar,N70,E088
DEM1_SAR_DGE_30_20101228T144516_20130407T143749_ADS_000000_9wuw.DEM.tar,N61,E043
DEM1_SAR_DGE_30_20130610T001246_20140909T002209_ADS_000000_SOlS.DEM.tar,S69,E056
DEM1_SAR_DGE_30_20130509T155022_20140726T225045_ADS_000000_cRRl.DEM.tar,S78,E049
DEM1_SAR_DGE_30_20130604T161119_20140728T111551_ADS_000000_Agzo.DEM.tar,S77,E155
DEM1_SAR_DGE_30_20110317T105229_20141129T105457_ADS_000000_37dK.DEM.tar,N35,E106
DEM1_SAR_DGE_30_20110829T091821_20121214T091848_ADS_000000_Skcy.DEM.tar,N30,E129
DEM1_SAR_DGE_30_20110126T172033_20140205T171355_ADS_000000_kWi0.DEM.tar,N29,E010
DEM1_SAR_DGE_30_20110110T092430_20121220T091749_ADS_000000_K17v.DEM.tar,N59,E124
DEM1_SAR_DGE_30_20110406T222330_20131223T095755_ADS_000000_MxWA.DEM.tar,N01,W062
DEM1_SAR_DGE_30_20110224T183150_20140223T182500_ADS_000000_gHh5.DEM.tar,N40,W009
DEM1_SAR_DGE_30_20110224T121149_20141107T001839_ADS_000000_8kjb.DEM.tar,N41,E086
DEM1_SAR_DGE_30_20130505T183412_20140531T182753_ADS_000000_hndV.DEM.tar,S80,E012
DEM1_SAR_DGE_30_20101214T033001_20130528T034332_ADS_000000_kFeK.DEM.tar,S06,E031
DEM1_SAR_DGE_30_20110111T192026_20140227T085935_ADS_000000_Z458.DEM.tar,S41,E147
