,CPP filename,Lat,Long
0,DEM1_SAR_DGE_30_20110207T033449_20121004T033737_ADS_000000_jJPl.DEM.tar,S21,E029
1,DEM1_SAR_DGE_30_20110103T130005_20130402T125353_ADS_000000_Aj47.DEM.tar,N60,E070
2,DEM1_SAR_DGE_30_20101222T090618_20131226T091115_ADS_000000_dJl5.DEM.tar,S18,W055
3,DEM1_SAR_DGE_30_20130430T085546_20140905T172316_ADS_000000_9GHZ.DEM.tar,S82,E162
4,DEM1_SAR_DGE_30_20110224T231153_20140212T110203_ADS_000000_DzoG.DEM.tar,N19,W077
5,DEM1_SAR_DGE_30_20110108T103227_20130423T103503_ADS_000000_IwY4.DEM.tar,S03,W073
6,DEM1_SAR_DGE_30_20110329T173921_20130404T174022_ADS_000000_9iQu.DEM.tar,S20,E178
7,DEM1_SAR_DGE_30_20110815T092739_20120925T092758_ADS_000000_GZIF.DEM.tar,S49,W066
8,DEM1_SAR_DGE_30_20110125T002114_20130601T002423_ADS_000000_rDi2.DEM.tar,N54,W100
9,DEM1_SAR_DGE_30_20101230T193231_20140105T083040_ADS_000000_9Xwo.DEM.tar,S21,E148
10,DEM1_SAR_DGE_30_20110415T031727_20140328T163237_ADS_000000_Ntf9.DEM.tar,S30,E031
11,DEM1_SAR_DGE_30_20101213T204024_20130328T204123_ADS_000000_6ize.DEM.tar,N66,W048
12,DEM1_SAR_DGE_30_20130606T012227_20140911T012321_ADS_000000_P1qT.DEM.tar,S71,E035
13,DEM1_SAR_DGE_30_20110203T092327_20130530T092913_ADS_000000_7XyY.DEM.tar,S11,W057
14,DEM1_SAR_DGE_30_20130510T091245_20140522T064654_ADS_000000_cZth.DEM.tar,S88,E167
15,DEM1_SAR_DGE_30_20130504T202559_20140518T203708_ADS_000000_SO3l.DEM.tar,S81,W018
16,DEM1_SAR_DGE_30_20110107T114109_20140916T113514_ADS_000000_oeft.DEM.tar,N24,E096
17,DEM1_SAR_DGE_30_20130603T211324_20140908T211358_ADS_000000_qsxx.DEM.tar,S74,E090
