GlaThiDa_ID,NAME,RGI_ID,GTD_AREA,RGI_AREA,MEAN_THICKNESS,MAXIMUM_THICKNESS,GTD_LON,GTD_LAT
384,Malyi Aktru,RGI50-10.01732,2.84,2.619,86.0,235.0,87.767,50.05
391,Pravyi Aktru,RGI50-10.01735,5.15,4.412,56.0,194.0,87.717,50.06
392,Bolshoi Maashei,RGI50-10.01726,5.468,5.766,44.0,148.0,87.667,50.067
397,Jello,RGI50-10.01738,7.5,6.593,68.0,128.0,87.717,50.033
403,138,RGI50-10.01755,0.73,1.022,44.0,101.0,87.75,49.933
411,108,RGI50-10.01168,1.62,1.193,77.0,125.0,87.4715,50.0324
413,177,RGI50-10.01841,1.76,1.797,64.0,109.0,87.55,49.817
417,Universitetskiy,RGI50-10.01062,2.06,2.216,74.0,109.0,87.533,50.05
486,Schneeferner N,RGI50-11.03974,0.307,0.351,17.0,52.0,10.972,47.4139
487,Schneeferner S,RGI50-11.03975,0.084,0.029,5.0,17.0,10.9736,47.4
488,Hoellentalferner,RGI50-11.03977,0.223,0.223,12.0,52.0,10.9912,47.4231
490,Watzmanngletscher,RGI50-11.03980,0.10099999999999999,0.058,6.0,16.0,12.9282,47.5543
497,Findelen,RGI50-11.02789,13.079375,14.312,89.0,226.0,7.8465,45.9979
509,Aldegondabreen,RGI50-07.01079,7.624,6.737,73.0,216.0,14.092,77.97
517,Tortin,RGI50-11.02611,0.62,0.68,25.0,57.0,7.312,46.083
518,Mutt,RGI50-11.01492,0.37,0.449,26.0,56.0,8.421,46.552
519,Sex Rouge,RGI50-11.02244,0.27,0.347,24.0,61.0,7.213,46.327
520,Murtel,RGI50-11.02024,0.3,0.349,24.0,48.0,9.825,46.409
521,Segnas,RGI50-11.00695,0.38,0.666,15.0,62.0,9.252,46.911
522,Corvatsch,RGI50-11.01962,0.23,0.455,17.0,49.0,9.824,46.418
523,St. Anna,RGI50-11.01367,0.22,0.211,16.0,42.0,8.601,46.599
524,Gurschen,RGI50-11.01344,0.14,0.092,15.0,43.0,8.615,46.606
526,Schwarzbach,RGI50-11.01376,0.06,0.056,8.0,19.0,8.613,46.598
555,Corbassiere,RGI50-11.02782,18.3,16.697,76.0,238.0,7.3000001910000005,45.97999954
560,Ariebreen,RGI50-07.00209,0.37,0.418,30.0,82.0,15.491591,77.026146
