GlaThiDa_ID,NAME,GTD_AREA,MEAN_THICKNESS,MAXIMUM_THICKNESS,GTD_LON,GTD_LAT,REGION,RGI50_ID,RGI60_ID
1,Isfallsglac,1.3,72.0,220.0,18.567999999999998,67.915,08,RGI50-08.02634,RGI60-08.00251
3,Storglaciaeren,3.1,99.0,250.0,18.57,67.9,08,RGI50-08.02637,RGI60-08.00213
8,Grinnell,1.0,64.0,,-113.73,48.75,02,RGI50-02.13926,RGI60-02.16808
10,Carbon,7.9,90.0,215.0,-121.78,46.93,02,RGI50-02.00645,RGI60-02.14256
13,Collier,1.1,19.0,91.0,-121.7836,44.1652,02,RGI50-02.00331,RGI60-02.13754
14,Diller,0.7,20.0,59.0,-121.7739,44.1432,02,RGI50-02.00324,RGI60-02.18821
15,Eliot,1.7,54.0,110.0,-121.6803,45.3808,02,RGI50-02.13914,RGI60-02.18792
16,Emmons,11.0,60.0,185.0,-121.72,46.85,02,RGI50-02.00651,RGI60-02.14297
17,Hayden,0.7,26.0,65.0,-121.7762,44.1524,02,RGI50-02.00325,RGI60-02.13741
18,Ladd,0.9,33.0,76.0,-121.7048,45.3916,02,RGI50-02.13918,RGI60-02.13874
22,Nisqually,4.6,48.0,133.0,-121.74,46.82,02,RGI50-02.00644,RGI60-02.14336
24,Prouty,1.0,17.0,38.0,-121.7598,44.1057,02,RGI50-02.00312,RGI60-02.13805
26,Russell,3.3,26.0,73.0,-121.7889,46.8978,02,RGI50-02.00654,RGI60-02.14277
27,Sandy,1.2,21.0,61.0,-121.7167,45.3797,02,RGI50-02.00523,RGI60-02.13924
28,Tahoma North-L.,8.7,52.0,146.0,-121.82,46.83,02,RGI50-02.13922,RGI60-02.14323
30,Wilson,1.4,38.0,88.0,-121.7525,46.8219,02,RGI50-02.00658,RGI60-02.18818
31,Winthrop,9.2,57.0,98.0,-121.7419,46.8761,02,RGI50-02.13923,RGI60-02.14259
39,Suyok Zapadniy,1.18,34.0,,77.78,41.78,13,RGI50-13.06974,RGI60-13.06974
44,Ts.Tuyuksuyskiy,2.72,104.0,,77.08,43.05,13,RGI50-13.08624,RGI60-13.08624
51,252,2.0,43.0,,79.285,44.883,13,RGI50-13.05579,RGI60-13.05579
52,Kaskabulakskii,2.8,52.0,,79.317,44.883,13,RGI50-13.05578,RGI60-13.05578
58,Mgg,2.0,37.0,,79.53,44.97,13,RGI50-13.05624,RGI60-13.05624
66,Ashar,1.7,51.0,,79.82,45.0,13,RGI50-13.05710,RGI60-13.05710
71,305,1.0,47.0,,79.5927,44.7016,13,RGI50-13.05393,RGI60-13.05393
74,Juytas,2.1,54.0,,79.7254,44.685,13,RGI50-13.05376,RGI60-13.05376
76,Keregetas,1.7,25.0,,79.7391,44.6667,13,RGI50-13.05381,RGI60-13.05381
80,93,0.8,40.0,,80.29,44.582,13,RGI50-13.05203,RGI60-13.05203
82,Khorgosskiy,2.5,42.0,,80.2417,44.5846,13,RGI50-13.05200,RGI60-13.05200
84,Majak Vostochniy,1.4,59.0,,80.172,44.5723,13,RGI50-13.05217,RGI60-13.05217
85,125,1.9,36.0,,80.1887,44.5804,13,RGI50-13.05218,RGI60-13.05218
87,Sagrir,1.5,33.0,,80.1179,44.59,13,RGI50-13.05285,RGI60-13.05285
88,168,1.3,35.0,,80.1304,44.6254,13,RGI50-13.05266,RGI60-13.05266
89,163,0.8,29.0,,80.1082,44.5927,13,RGI50-13.05282,RGI60-13.05282
90,162,1.4,30.0,,80.0912,44.5901,13,RGI50-13.05283,RGI60-13.05283
91,Shumskogo,2.82,62.0,,80.23,45.08,13,RGI50-13.05504,RGI60-13.05504
93,Brandner,1.84,20.0,,9.7003,47.0586,11,RGI50-11.00408,RGI60-11.00408
97,Gr. Gosau,1.33,29.0,80.0,13.6,47.48,11,RGI50-11.00003,RGI60-11.00003
99,Guslar Gr.,1.76,49.0,,10.8,46.85,11,RGI50-11.00779,RGI60-11.00779
108,Zmuttgletscher,16.98,79.0,,7.63,46.0,11,RGI50-11.02755,RGI60-11.02739
110,Antoniabreen,32.0,125.0,350.0,14.3,77.48,07,RGI50-07.00229,RGI60-07.00229
112,Bogerbreen,4.5,67.0,145.0,15.6254,78.1316,07,RGI50-07.01132,RGI60-07.01132
114,Vestre Brøggerbreen,5.6,43.0,95.0,11.7267,78.911,07,RGI50-07.00503,RGI60-07.00503
118,Midre Lovenbreen,5.8,64.0,150.0,12.07,78.88,07,RGI50-07.00493,RGI60-07.00493
119,Märjelenbreen,6.4,73.0,120.0,15.4583,77.4474,07,RGI50-07.00232,RGI60-07.00232
123,Finsterwalderbr,38.0,74.0,175.0,15.25,77.483,07,RGI50-07.00231,RGI60-07.00231
126,Borebreen,120.0,111.0,185.0,13.9,78.4417,07,RGI50-07.00464,RGI60-07.00464
130,Vestgötabreen,12.6,100.0,145.0,12.9026,78.462,07,RGI50-07.00312,RGI60-07.00312
132,Hydrografbreen,12.8,63.0,110.0,12.7506,78.4552,07,RGI50-07.00311,RGI60-07.00311
136,Idabreen,11.4,68.0,100.0,12.2719,79.59899999999998,07,RGI50-07.00775,RGI60-07.00775
139,Løvliebreen,11.0,99.0,165.0,13.0411,78.4754,07,RGI50-07.00305,RGI60-07.00305
147,Sveabreen,174.0,49.0,140.0,13.6135,78.6945,07,RGI50-07.00474,RGI60-07.00474
153,Hansbreen,72.0,165.0,330.0,15.6384,77.0629,07,RGI50-07.00240,RGI60-07.00240
195,Comfortlessbreen,56.4,175.0,300.0,12.1302,78.7649,07,RGI50-07.00511,RGI60-07.00511
200,Upper Fremont,1.52,77.0,172.0,-109.6161,43.1311,02,RGI50-02.13921,RGI60-02.18799
202,Black Rapids,246.0,235.0,603.0,-146.5,63.48,01,RGI50-01.00037,RGI60-01.00037
205,Kvitoeyjoekulen,705.0,200.0,,32.6258,80.2139,07,RGI50-07.01394,RGI60-07.01394
213,Kleinfleisskees,1.26,42.0,153.0,12.95,47.05,11,RGI50-11.00251,RGI60-11.00251
215,Oberes Wurtenkees,0.46,13.0,40.0,13.0148,47.0344,11,RGI50-11.00306,RGI60-11.00306
216,Unteres Wurtenkees,0.38,40.0,79.0,13.0061,47.0385,11,RGI50-11.00300,RGI60-11.00300
221,Gurenhekou,1.4,36.0,121.0,90.7708,30.3156,13,RGI50-13.28839,RGI60-13.28839
239,Weissseeferner,2.697,31.0,80.0,10.72,46.85,11,RGI50-11.00770,RGI60-11.00770
240,Gepatschferner,17.16,94.0,221.0,10.77,46.85,11,RGI50-11.00746,RGI60-11.00746
243,Kesselwandferner,4.052,79.0,155.0,10.7933,46.8383,11,RGI50-11.00787,RGI60-11.00787
245,Mittelbergferner,9.916,53.0,188.0,10.9,46.92,11,RGI50-11.00666,RGI60-11.00666
247,Gurglerferner,9.379,59.0,201.0,10.98,46.8,11,RGI50-11.00887,RGI60-11.00887
248,Hallstaetter,3.0410000000000004,55.0,131.0,13.615,47.482,11,RGI50-11.00002,RGI60-11.00002
249,Hintereisferner,8.55,67.0,242.0,10.77,46.797,11,RGI50-11.00897,RGI60-11.00897
253,Schladminger Gletscher,0.794,45.0,131.0,13.63,47.47,11,RGI50-11.00006,RGI60-11.00006
254,Fernauferner,1.693,37.0,178.0,11.13,46.98,11,RGI50-11.00548,RGI60-11.00548
258,Stubacher Sonnblickkees,1.474,35.0,142.0,12.6,47.13,11,RGI50-11.00080,RGI60-11.00080
261,Pasterze,18.38,82.0,311.0,12.7,47.1,11,RGI50-11.00106,RGI60-11.00106
262,Rettenbachferner,1.604,30.0,62.0,10.933,46.937,11,RGI50-11.00648,RGI60-11.00648
263,Rainerkees,3.511,43.0,78.0,12.357000000000001,47.093,11,RGI50-11.00161,RGI60-11.00161
266,Bockkogelkees E,0.635,42.0,87.0,11.11,47.028,11,RGI50-11.00450,RGI60-11.00450
267,Bockkogelkees W,0.522,73.0,69.0,11.102,47.023,11,RGI50-11.00457,RGI60-11.00457
269,Brunnenkogelferner,1.524,27.0,56.0,10.87,46.925,11,RGI50-11.00670,RGI60-11.00670
270,Gaissbergferner,1.1909999999999998,34.0,99.0,11.065,46.83,11,RGI50-11.00836,RGI60-11.00836
271,Hochalmkees,2.907,53.0,155.0,13.33,47.02,11,RGI50-11.00303,RGI60-11.00303
273,Hornkees,2.665,28.0,111.0,11.82,47.0,11,RGI50-11.00459,RGI60-11.00459
274,Jamtalferner,3.712,52.0,119.0,10.1617,46.8617,11,RGI50-11.00781,RGI60-11.00781
275,Langtaler Ferner,2.894,56.0,147.0,11.0167,46.7933,11,RGI50-11.00929,RGI60-11.00929
276,Luesener Ferner,3.105,58.0,131.0,11.1283,47.0867,11,RGI50-11.00295,RGI60-11.00295
277,Luesener Ferner Berglas,0.395,79.0,131.0,11.12,47.078,11,RGI50-11.00343,RGI60-11.00343
278,Marzellferner,4.885,52.0,187.0,10.88,46.78,11,RGI50-11.00958,RGI60-11.00958
279,Mullwitzkees,3.229,39.0,78.0,12.38,47.0867,11,RGI50-11.00190,RGI60-11.00190
281,Nillkees,0.159,22.0,42.0,12.4117,47.0517,11,RGI50-11.00319,RGI60-11.00319
283,Ochsentaler,2.523,44.0,163.0,10.105,46.855,11,RGI50-11.00797,RGI60-11.00797
284,Rotmoosferner,2.878,32.0,104.0,11.0483,46.8167,11,RGI50-11.00871,RGI60-11.00871
285,Schalfferner,7.6560000000000015,50.0,117.0,10.93,46.78,11,RGI50-11.00945,RGI60-11.00945
286,Schlatenkees,9.321,58.0,197.0,12.3839,47.1122,11,RGI50-11.00135,RGI60-11.00135
287,Schmiedingerkees,1.367,19.0,70.0,12.68,47.18,11,RGI50-11.00014,RGI60-11.00014
288,Schwarzenberg,1.5519999999999998,40.0,107.0,11.12,47.05,11,RGI50-11.00392,RGI60-11.00392
289,Schwarzensteinkees,4.126,32.0,94.0,11.85,47.02,11,RGI50-11.00415,RGI60-11.00415
291,Sexegertenferner,2.157,35.0,93.0,10.8,46.9,11,RGI50-11.00698,RGI60-11.00698
293,Sulztalferner,3.986,42.0,131.0,11.08,47.0,11,RGI50-11.00487,RGI60-11.00487
295,Tiefenbachferner,1.109,42.0,82.0,10.93,46.92,11,RGI50-11.00674,RGI60-11.00674
296,Umbalkees,4.729,46.0,110.0,12.2417,47.0567,11,RGI50-11.00278,RGI60-11.00278
298,Vermuntgletscher,1.843,20.0,62.0,10.125,46.8533,11,RGI50-11.00807,RGI60-11.00807
299,Vernagtferner,8.839,42.0,134.0,10.817,46.876999999999995,11,RGI50-11.00719,RGI60-11.00719
300,Viltragenferner,2.128,39.0,129.0,12.372,47.128,11,RGI50-11.00110,RGI60-11.00110
302,Waxeggkees,3.346,30.0,83.0,11.7917,47.0,11,RGI50-11.00469,RGI60-11.00469
303,Windacher Ferner,0.389,27.0,74.0,11.1,46.9767,11,RGI50-11.00584,RGI60-11.00584
344,Storbreen,5.4,115.0,,8.13,61.57,08,RGI50-08.01666,RGI60-08.00312
345,Engabreen,39.6,205.0,,13.85,66.65,08,RGI50-08.00431,RGI60-08.01657
347,Hoffellsjoekull,212.0,300.0,560.0,-15.57,64.48,06,RGI50-06.00466,RGI60-06.00466
353,Rhone,15.12,130.0,345.0,8.4,46.62,11,RGI50-11.01238,RGI60-11.01238
354,Silvretta,2.81,60.0,121.0,10.08,46.85,11,RGI50-11.00804,RGI60-11.00804
355,Unteraar,22.71,176.0,369.0,8.22,46.57,11,RGI50-11.01328,RGI60-11.01328
356,Zinal,13.41,61.0,174.0,7.63,46.07,11,RGI50-11.02641,RGI60-11.02630
359,Austre Lovenbreen,4.6,76.0,164.0,12.1553,78.8712,07,RGI50-07.00496,RGI60-07.00496
362,Pizolgletscher,0.080675,15.0,36.0,9.3891,46.9595,11,RGI50-11.00638,RGI60-11.00638
366,Stasher,0.24,54.0,91.0,87.7397,50.0872,10,RGI50-10.01697,RGI60-10.01697
384,Malyi Aktru,2.84,86.0,235.0,87.76700000000002,50.05,10,RGI50-10.01732,RGI60-10.01732
391,Pravyi Aktru,5.15,56.0,194.0,87.71700000000001,50.06,10,RGI50-10.01735,RGI60-10.01735
392,Bolshoi Maashei,5.468,44.0,148.0,87.667,50.067,10,RGI50-10.01726,RGI60-10.01726
397,Jello,7.5,68.0,128.0,87.71700000000001,50.033,10,RGI50-10.01738,RGI60-10.01738
411,108,1.62,77.0,125.0,87.4715,50.0324,10,RGI50-10.01168,RGI60-10.01168
413,177,1.76,64.0,109.0,87.55,49.817,10,RGI50-10.01841,RGI60-10.01841
417,Universitetskiy,2.06,74.0,109.0,87.53299999999999,50.05,10,RGI50-10.01062,RGI60-10.01062
486,Schneeferner N,0.307,17.0,52.0,10.972000000000001,47.4139,11,RGI50-11.03974,RGI60-11.03246
487,Schneeferner S,0.084,5.0,17.0,10.9736,47.4,11,RGI50-11.03975,RGI60-11.03247
488,Hoellentalferner,0.223,12.0,52.0,10.9912,47.4231,11,RGI50-11.03977,RGI60-11.03249
490,Watzmanngletscher,0.101,6.0,16.0,12.9282,47.5543,11,RGI50-11.03980,RGI60-11.03252
497,Findelen,13.079375,89.0,226.0,7.8465,45.9979,11,RGI50-11.02789,RGI60-11.02773
509,Aldegondabreen,7.624,73.0,216.0,14.092,77.97,07,RGI50-07.01079,RGI60-07.01079
517,Tortin,0.62,25.0,57.0,7.312,46.083,11,RGI50-11.02611,RGI60-11.02600
518,Mutt,0.37,26.0,56.0,8.421,46.552,11,RGI50-11.01492,RGI60-11.01492
519,Sex Rouge,0.27,24.0,61.0,7.212999999999999,46.327,11,RGI50-11.02244,RGI60-11.02244
520,Murtel,0.3,24.0,48.0,9.825,46.409,11,RGI50-11.02024,RGI60-11.02024
521,Segnas,0.38,15.0,62.0,9.252,46.911,11,RGI50-11.00695,RGI60-11.00695
522,Corvatsch,0.23,17.0,49.0,9.824,46.418,11,RGI50-11.01962,RGI60-11.01962
523,St. Anna,0.22,16.0,42.0,8.601,46.599,11,RGI50-11.01367,RGI60-11.01367
524,Gurschen,0.14,15.0,43.0,8.615,46.606,11,RGI50-11.01344,RGI60-11.01344
526,Schwarzbach,0.06,8.0,19.0,8.613,46.598,11,RGI50-11.01376,RGI60-11.01376
555,Corbassiere,18.3,76.0,238.0,7.300000191,45.97999954,11,RGI50-11.02782,RGI60-11.02766
560,Ariebreen,0.37,30.0,82.0,15.491591,77.026146,07,RGI50-07.00209,RGI60-07.00209
